comparison_type,role,smat_player,smat_team,ipl_player,ipl_team,similarity_rank,similarity_score
batting,finisher,Fazil Rashid,Jammu & Kashmir,DJ Bravo,Chennai Super Kings,3,66.9
batting,finisher,Himmat Singh,Delhi,LRPL Taylor,Royal Challengers Bengaluru,1,90.4
batting,finisher,Himmat Singh,Delhi,PK Garg,Sunrisers Hyderabad,2,85.46
batting,finisher,Himmat Singh,Delhi,MC Henriques,Sunrisers Hyderabad,3,83.38
batting,finisher,Jay Gohil,Saurashtra,KK Cooper,Rajasthan Royals,1,76.13
batting,finisher,Jay Gohil,Saurashtra,M Shahrukh Khan,Punjab Kings,2,73.56
batting,finisher,Jay Gohil,Saurashtra,NLTC Perera,Sunrisers Hyderabad,3,68.53
batting,finisher,K L Shrijith,Karnataka,AM Nayar,Mumbai Indians,1,83.68
batting,finisher,K L Shrijith,Karnataka,B Chipli,Sunrisers Hyderabad,2,82.65
batting,finisher,K L Shrijith,Karnataka,PK Garg,Sunrisers Hyderabad,3,82.48
batting,finisher,KH Pandya,Baroda,CL White,Sunrisers Hyderabad,1,95.77
batting,finisher,KH Pandya,Baroda,DJ Hussey,Punjab Kings,2,74.44
batting,finisher,KH Pandya,Baroda,AT Rayudu,Mumbai Indians,3,73.72
batting,finisher,M Shahrukh Khan,Tamil Nadu,MP Stoinis,Lucknow Super Giants,1,53.43
batting,finisher,M Shahrukh Khan,Tamil Nadu,KK Cooper,Rajasthan Royals,2,52.85
batting,finisher,M Shahrukh Khan,Tamil Nadu,SM Curran,Punjab Kings,3,50.97
batting,finisher,N Wadhera,Punjab,H Klaasen,Sunrisers Hyderabad,1,78.95
batting,finisher,N Wadhera,Punjab,Tilak Varma,Mumbai Indians,2,71.6
batting,finisher,N Wadhera,Punjab,N Pooran,Lucknow Super Giants,3,68.99
batting,finisher,R Tewatia,Haryana,Shashank Singh,Punjab Kings,1,83.33
batting,finisher,R Tewatia,Haryana,T Stubbs,Delhi Capitals,2,76.98
batting,finisher,R Tewatia,Haryana,TH David,Mumbai Indians,3,74.17
batting,finisher,RK Singh,Uttar Pradesh,T Stubbs,Delhi Capitals,1,94.57
batting,finisher,RK Singh,Uttar Pradesh,Shashank Singh,Punjab Kings,2,90.51
