team,recommendation_type,target_role,domestic_player,domestic_team,quality_score,similarity_score,gap_score,reliability_score,recent_form_score,role_fit_score,ml_suitability_score,archetype_role_match_score,cluster_label,archetype_role,final_recommendation_score,closest_ipl_benchmark,closest_ipl_benchmark_team,current_role_count,target_role_count,role_deficit,role_rank,overall_team_rank
Chennai Super Kings,allrounder,batting_allrounder,Sumit Kumar,Haryana,79.46,96.77,100.0,0.0,79.31,46.15,88.1,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,66.76,Azhar Mahmood,Punjab Kings,0,2,2,3,68
Chennai Super Kings,allrounder,batting_allrounder,NA Rathva,Baroda,72.89,87.29,100.0,0.0,52.12,100.0,85.4,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,66.42,Shakib Al Hasan,Kolkata Knight Riders,0,2,2,4,70
Chennai Super Kings,allrounder,batting_allrounder,R Parag,Assam,88.15,74.48,100.0,0.0,60.83,65.38,92.52,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,65.67,PD Collingwood,Delhi Capitals,0,2,2,5,74
Chennai Super Kings,allrounder,batting_allrounder,N Rana,Delhi,85.62,73.3,100.0,0.0,68.59,61.54,93.81,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,65.51,PD Collingwood,Delhi Capitals,0,2,2,6,75
Chennai Super Kings,allrounder,batting_allrounder,KH Pandya,Baroda,76.94,89.33,100.0,0.0,67.7,53.85,88.2,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,64.76,SM Pollock,Mumbai Indians,0,2,2,7,81
Chennai Super Kings,allrounder,batting_allrounder,VR Iyer,Madhya Pradesh,80.31,91.26,100.0,0.0,59.28,38.46,89.42,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,63.47,PD Collingwood,Delhi Capitals,0,2,2,8,92
Chennai Super Kings,allrounder,batting_allrounder,R Tewatia,Haryana,79.51,79.37,100.0,0.0,55.78,53.85,91.47,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,62.92,ST Jayasuriya,Mumbai Indians,0,2,2,9,96
Chennai Super Kings,allrounder,batting_allrounder,KV Sharma,Railways,76.29,88.4,100.0,0.0,44.87,53.85,94.12,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,62.8,SM Pollock,Mumbai Indians,0,2,2,10,98
Chennai Super Kings,allrounder,batting_allrounder,Lalit Yadav,Delhi,79.05,61.82,100.0,0.0,69.48,34.62,91.48,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,59.64,MM Ali,Chennai Super Kings,0,2,2,11,112
Chennai Super Kings,allrounder,batting_allrounder,S Dube,Mumbai,70.9,82.93,100.0,0.0,61.35,26.92,83.55,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,58.8,BA Stokes,Rajasthan Royals,0,2,2,12,117
Chennai Super Kings,allrounder,batting_allrounder,Manisankar Murasingh,Tripura,74.2,79.15,100.0,0.0,37.37,11.54,87.52,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,55.36,SM Pollock,Mumbai Indians,0,2,2,13,138
Chennai Super Kings,allrounder,bowling_allrounder,JD Unadkat,Saurashtra,93.38,97.05,100.0,0.0,56.97,81.25,96.87,100.0,allrounder_bowling_allrounder_cluster_2,bowling_allrounder,81.74,MF Maharoof,Delhi Capitals,0,2,2,1,4
Chennai Super Kings,allrounder,bowling_allrounder,PP Chawla,Gujarat,86.57,93.92,100.0,0.0,56.98,56.25,92.75,100.0,allrounder_bowling_allrounder_cluster_2,bowling_allrounder,77.0,MF Maharoof,Delhi Capitals,0,2,2,2,18
Chennai Super Kings,allrounder,bowling_allrounder,A Sheth,Baroda,78.12,92.04,100.0,0.0,55.25,62.5,94.18,100.0,allrounder_bowling_allrounder_cluster_2,bowling_allrounder,75.62,JC Archer,Rajasthan Royals,0,2,2,3,22
Chennai Super Kings,allrounder,bowling_allrounder,K Gowtham,Karnataka,76.86,83.42,100.0,0.0,76.04,87.5,94.49,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,68.69,MF Maharoof,Delhi Capitals,0,2,2,4,56
Chennai Super Kings,allrounder,bowling_allrounder,Sanvir Singh,Punjab,80.96,97.86,100.0,0.0,49.31,31.25,98.66,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,63.79,CR Brathwaite,Delhi Capitals,0,2,2,5,90
Chennai Super Kings,allrounder,bowling_allrounder,Yuvraj Singh,Punjab,67.97,77.04,100.0,0.0,28.69,40.62,64.11,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,53.49,RS Bopara,Punjab Kings,0,2,2,6,148
Chennai Super Kings,allrounder,bowling_allrounder,Harpreet Singh,Chhattisgarh,79.98,66.56,100.0,0.0,36.02,0.0,87.23,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,53.31,R Tewatia,Gujarat Titans,0,2,2,7,150
Chennai Super Kings,allrounder,bowling_allrounder,Harsh Tyagi,Railways,64.13,95.29,100.0,0.0,29.96,15.62,46.18,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,51.3,Mohammad Nabi,Sunrisers Hyderabad,0,2,2,8,155
Chennai Super Kings,allrounder,bowling_allrounder,Rex Rajkumar,Manipur,51.58,97.5,100.0,0.0,36.21,25.0,22.38,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,48.3,R Dhawan,Punjab Kings,0,2,2,9,163
Chennai Super Kings,allrounder,bowling_allrounder,Kangabam Singh,Manipur,48.07,94.36,100.0,0.0,17.68,0.0,10.54,0.0,allrounder_pure_bowler_cluster_1,pure_bowler,41.59,R McLaren,Mumbai Indians,0,2,2,10,178
Chennai Super Kings,allrounder,bowling_allrounder,Lalhruaizela,Mizoram,45.83,93.92,100.0,0.0,4.07,0.0,9.24,0.0,allrounder_pure_bowler_cluster_1,pure_bowler,39.59,MN Samuels,Pune Warriors,0,2,2,11,181
Chennai Super Kings,bowling,death_bowler,JD Unadkat,Saurashtra,81.52,93.8,50.0,100.0,83.64,92.86,98.94,0.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,75.42,Sohail Tanvir,Rajasthan Royals,1,2,1,1,23
Chennai Super Kings,bowling,death_bowler,B Kumar,Uttar Pradesh,88.45,95.2,50.0,100.0,90.97,64.29,98.79,0.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,74.88,SL Malinga,Mumbai Indians,1,2,1,2,25
Chennai Super Kings,bowling,death_bowler,LI Meriwala,Baroda,66.94,85.6,50.0,100.0,74.22,78.57,97.95,0.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,68.8,SL Malinga,Mumbai Indians,1,2,1,3,55
Chennai Super Kings,bowling,death_bowler,V Kaverappa,Karnataka,74.11,90.46,50.0,58.8,59.55,85.71,97.51,0.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,66.05,T Thushara,Chennai Super Kings,1,2,1,4,73
Chennai Super Kings,bowling,death_bowler,DS Kulkarni,Mumbai,65.36,93.01,50.0,100.0,52.73,57.14,99.65,0.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,65.48,DE Bollinger,Chennai Super Kings,1,2,1,5,77
Chennai Super Kings,bowling,death_bowler,TU Deshpande,Mumbai,69.07,92.34,50.0,100.0,46.2,50.0,98.72,0.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,64.66,CK Langeveldt,Kolkata Knight Riders,1,2,1,6,82
Chennai Super Kings,bowling,death_bowler,A Sheth,Baroda,61.22,83.58,50.0,100.0,65.13,42.86,99.59,0.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,63.04,MA Starc,Royal Challengers Bengaluru,1,2,1,7,95
Chennai Super Kings,bowling,death_bowler,N Rana,Delhi,62.2,66.03,50.0,100.0,60.91,71.43,88.95,0.0,bowling_middle_overs_bowler_cluster_1,middle_overs_bowler,61.97,L Balaji,Kolkata Knight Riders,1,2,1,8,101
Chennai Super Kings,bowling,death_bowler,A Nagwaswalla,Gujarat,70.08,88.97,50.0,100.0,60.68,3.57,97.33,0.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,61.02,RJ Harris,Punjab Kings,1,2,1,9,105
Chennai Super Kings,bowling,death_bowler,Mohit Avasthi,Mumbai,61.74,79.23,50.0,100.0,63.08,28.57,98.91,0.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,60.79,A Singh,Rajasthan Royals,1,2,1,10,106
Chennai Super Kings,bowling,death_bowler,S Kaul,Punjab,58.4,77.27,50.0,100.0,66.17,14.29,95.6,0.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,58.38,SL Malinga,Mumbai Indians,1,2,1,11,121
Chennai Super Kings,bowling,death_bowler,SN Thakur,Mumbai,53.1,85.15,50.0,100.0,37.56,3.57,98.03,0.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,54.81,WD Parnell,Pune Warriors,1,2,1,12,143
Chennai Super Kings,bowling,death_bowler,T Natarajan,Tamil Nadu,46.67,88.42,50.0,100.0,9.03,21.43,93.79,0.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,52.52,Mustafizur Rahman,Sunrisers Hyderabad,1,2,1,13,153
Chennai Super Kings,bowling,death_bowler,Akash Sengupta,Assam,45.4,78.51,50.0,57.9,67.37,35.71,58.13,0.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,50.27,Umar Gul,Kolkata Knight Riders,1,2,1,14,158
Chennai Super Kings,batting,finisher,RK Singh,Uttar Pradesh,83.26,94.57,50.0,100.0,96.01,94.74,70.13,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,74.43,T Stubbs,Delhi Capitals,1,2,1,1,27
Chennai Super Kings,batting,finisher,Sanvir Singh,Punjab,68.97,92.73,50.0,97.9,68.45,89.47,55.59,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,66.34,TH David,Mumbai Indians,1,2,1,2,71
Chennai Super Kings,batting,finisher,KH Pandya,Baroda,59.71,95.77,50.0,100.0,76.49,63.16,71.82,0.0,batting_tailender_cluster_1,tailender,64.95,CL White,Sunrisers Hyderabad,1,2,1,3,79
Chennai Super Kings,batting,finisher,A Manohar,Karnataka,87.95,79.32,50.0,100.0,47.58,42.11,86.95,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,64.65,H Klaasen,Sunrisers Hyderabad,1,2,1,4,83
Chennai Super Kings,batting,finisher,Rajat Dey,Tripura,62.25,78.9,50.0,100.0,78.4,73.68,71.89,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,64.18,JP Duminy,Delhi Capitals,1,2,1,5,86
Chennai Super Kings,batting,finisher,N Wadhera,Punjab,80.71,78.95,50.0,57.9,86.3,52.63,87.8,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,63.95,H Klaasen,Sunrisers Hyderabad,1,2,1,6,88
Chennai Super Kings,batting,finisher,Jay Gohil,Saurashtra,53.46,76.13,50.0,92.1,72.01,100.0,44.52,0.0,batting_tailender_cluster_1,tailender,60.47,KK Cooper,Rajasthan Royals,1,2,1,7,107
Chennai Super Kings,batting,finisher,Vishnu Solanki,Baroda,50.3,73.01,50.0,100.0,65.08,78.95,56.92,0.0,batting_tailender_cluster_1,tailender,58.61,MC Henriques,Sunrisers Hyderabad,1,2,1,8,118
