dataset,feature,count,missing_count,min,max,mean,median,std
ipl_batting,duck_rate,727,0,0.0,1.0,0.114,0.053,0.186
ipl_batting,consistency_score,727,0,0.0,37.49,10.294,8.41,8.667
ipl_batting,innings_above_30,727,0,0.0,131.0,6.395,0.0,14.939
ipl_batting,innings_above_50,727,0,0.0,74.0,2.805,0.0,7.723
ipl_batting,innings_above_30_pct,727,0,0.0,1.0,0.117,0.0,0.163
ipl_batting,innings_above_50_pct,727,0,0.0,1.0,0.043,0.0,0.086
ipl_batting,strike_rate,727,0,0.0,400.0,106.811,112.5,43.829
ipl_batting,boundary_rate,727,0,0.0,1.0,0.128,0.135,0.091
ipl_batting,six_rate,727,0,0.0,0.333,0.038,0.032,0.041
ipl_batting,four_rate,727,0,0.0,1.0,0.09,0.091,0.076
ipl_batting,boundary_runs_pct,699,28,0.0,1.0,0.49,0.556,0.241
ipl_batting,dot_ball_rate,727,0,0.0,1.0,0.459,0.423,0.166
ipl_batting,pp_runs,727,0,0.0,3415.0,150.831,1.0,424.489
ipl_batting,mid_runs,727,0,0.0,4176.0,222.546,18.0,506.71
ipl_batting,death_runs,727,0,0.0,3468.0,135.525,26.0,289.594
ipl_batting,pp_balls_faced,727,0,0.0,2780.0,120.047,3.0,329.363
ipl_batting,mid_balls_faced,727,0,0.0,3325.0,176.816,20.0,391.785
ipl_batting,death_balls_faced,727,0,0.0,1982.0,86.232,23.0,167.104
ipl_batting,pp_runs_pct,699,28,0.0,1.0,0.188,0.014,0.282
ipl_batting,mid_runs_pct,699,28,0.0,1.0,0.304,0.305,0.257
ipl_batting,death_runs_pct,699,28,0.0,1.0,0.508,0.507,0.373
ipl_batting,pp_strike_rate,386,341,0.0,350.0,105.324,108.93,48.32
ipl_batting,mid_strike_rate,560,167,0.0,400.0,101.568,106.97,46.0
ipl_batting,death_strike_rate,642,85,0.0,483.33,122.014,128.57,59.734
ipl_batting,avg_runs_in_wins,535,192,0.0,51.12,15.798,14.18,11.772
ipl_batting,avg_runs_in_losses,706,21,0.0,69.0,10.98,9.0,8.704
ipl_batting,balls_faced_per_match,727,0,1.0,47.0,10.065,8.67,6.561
ipl_batting,sample_reliability_score,727,0,0.067,1.0,0.637,0.746,0.368
ipl_batting,season_start_year,727,0,2008.0,2026.0,2018.724,2020.0,6.295
ipl_batting,avg_position,727,0,1.0,11.0,6.308,6.294,2.95
ipl_batting,median_position,727,0,1.0,11.0,6.288,6.5,3.046
ipl_batting,highest_position,727,0,1.0,11.0,5.006,4.0,3.329
ipl_batting,lowest_position,727,0,1.0,11.0,7.733,8.0,2.648
ipl_batting,typical_position,727,0,1.0,11.0,6.103,6.0,3.182
ipl_bowling,total_wickets,568,0,0.0,228.0,23.097,8.0,37.529
ipl_bowling,total_matches_bowled,568,0,1.0,233.0,25.243,10.0,36.604
ipl_bowling,total_balls_bowled,568,0,1.0,4710.0,488.234,184.5,765.254
ipl_bowling,total_runs_conceded,568,0,0.0,5676.0,673.572,269.5,1006.691
ipl_bowling,total_wides,568,0,0.0,190.0,20.051,7.0,31.547
ipl_bowling,total_noballs,568,0,0.0,37.0,2.162,1.0,4.037
ipl_bowling,economy_rate,568,0,0.0,36.0,9.365,8.81,2.786
ipl_bowling,bowling_average,483,85,0.0,136.0,35.108,31.18,16.943
ipl_bowling,bowling_strike_rate,483,85,1.0,90.0,23.741,21.45,10.096
ipl_bowling,avg_wickets_per_match,568,0,0.0,3.0,0.742,0.779,0.466
ipl_bowling,bowling_consistency,568,0,0.0,2.83,0.748,0.82,0.437
ipl_bowling,two_plus_hauls,568,0,0.0,62.0,6.188,2.0,10.444
ipl_bowling,two_plus_haul_rate,568,0,0.0,1.0,0.185,0.172,0.171
ipl_bowling,bowling_dot_rate,568,0,0.0,1.0,0.337,0.346,0.109
ipl_bowling,wide_rate,568,0,0.0,7.0,0.777,0.667,0.752
ipl_bowling,noball_rate,568,0,0.0,3.0,0.112,0.014,0.265
ipl_bowling,pp_runs_conceded,568,0,0.0,2679.0,200.502,61.5,362.112
ipl_bowling,mid_runs_conceded,568,0,0.0,4388.0,293.19,110.5,521.195
ipl_bowling,death_runs_conceded,568,0,0.0,2369.0,179.88,55.0,311.569
ipl_bowling,pp_balls_bowled,568,0,0.0,2453.0,153.03,42.0,292.471
ipl_bowling,mid_balls_bowled,568,0,0.0,3516.0,225.688,78.0,423.008
ipl_bowling,death_balls_bowled,568,0,0.0,1533.0,109.516,28.0,197.452
ipl_bowling,pp_economy,457,111,0.0,23.5,8.931,8.5,2.757
ipl_bowling,mid_economy,542,26,3.5,30.0,8.719,8.18,2.594
ipl_bowling,death_economy,479,89,0.0,36.0,10.943,10.32,3.597
ipl_bowling,pp_workload_pct,568,0,0.0,1.0,0.277,0.25,0.235
ipl_bowling,mid_workload_pct,568,0,0.0,1.0,0.511,0.5,0.285
ipl_bowling,death_workload_pct,568,0,0.0,1.0,0.213,0.189,0.183
ipl_bowling,wickets_in_wins,490,78,0.0,4.0,0.959,1.0,0.595
ipl_bowling,wickets_in_losses,530,38,0.0,3.0,0.607,0.6,0.471
ipl_bowling,balls_bowled_per_match,568,0,1.0,24.0,16.98,18.35,5.541
ipl_bowling,sample_reliability_score,568,0,0.067,1.0,0.74,1.0,0.347
ipl_bowling,season_start_year,568,0,2008.0,2026.0,2018.699,2019.0,6.191
ipl_allrounder,season_start_year,794,0,2008.0,2026.0,2018.758,2020.0,6.291
ipl_allrounder,batting_strength_score,794,0,0.0,142.8,41.272,42.785,23.597
ipl_allrounder,bowling_strength_score,794,0,0.0,152.23,50.549,62.795,35.425
ipl_allrounder,allrounder_index,794,0,0.0,102.1,45.91,49.285,17.942
ipl_allrounder,total_runs,727,67,0.0,9040.0,508.902,73.0,1083.643
ipl_allrounder,total_matches,727,67,1.0,270.0,25.171,8.0,40.639
ipl_allrounder,total_balls_faced,727,67,1.0,6748.0,383.095,71.0,796.953
ipl_allrounder,avg_runs,727,67,0.0,69.0,11.928,9.5,9.542
ipl_allrounder,strike_rate,727,67,0.0,400.0,106.811,112.5,43.829
ipl_allrounder,total_wickets,568,226,0.0,228.0,23.097,8.0,37.529
ipl_allrounder,total_matches_bowled,568,226,1.0,233.0,25.243,10.0,36.604
ipl_allrounder,total_balls_bowled,568,226,1.0,4710.0,488.234,184.5,765.254
ipl_allrounder,avg_wickets_per_match,568,226,0.0,3.0,0.742,0.779,0.466
ipl_allrounder,economy_rate,568,226,0.0,36.0,9.365,8.81,2.786
ipl_positions,avg_position,727,0,1.0,11.0,6.308,6.294,2.95
ipl_positions,median_position,727,0,1.0,11.0,6.288,6.5,3.046
ipl_positions,highest_position,727,0,1.0,11.0,5.006,4.0,3.329
ipl_positions,lowest_position,727,0,1.0,11.0,7.733,8.0,2.648
ipl_positions,typical_position,727,0,1.0,11.0,6.103,6.0,3.182
ipl_2026_batting,matches,177,0,1.0,17.0,6.395,5.0,5.014
ipl_2026_batting,innings,177,0,1.0,17.0,6.418,5.0,5.042
