player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_economy,mid_economy,death_economy,pp_wicket_contribution,mid_wicket_contribution,death_wicket_contribution,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,team
SS Shinde,3,4,68,102,2,1,9.0,34.0,22.67,0.75,0.5,0,0.0,0.176,0.5,0.25,,8.89,9.43,0.0,0.794,0.206,middle,middle_overs_bowler,1.0,0.67,Gujarat
STR Binny,23,24,409,527,9,3,7.73,22.91,17.78,0.958,1.04,6,0.25,0.394,0.375,0.125,7.57,7.3,9.44,0.411,0.44,0.149,middle,powerplay_bowler,1.23,0.64,Karnataka
SZ Mulani,35,31,679,739,17,0,6.53,21.11,19.4,1.129,0.99,11,0.355,0.427,0.548,0.0,6.46,6.46,7.83,0.327,0.62,0.053,powerplay,middle_overs_bowler,1.08,1.29,Mumbai
Sachidanand Pandey,10,12,235,360,9,0,9.19,36.0,23.5,0.833,0.94,2,0.167,0.315,0.75,0.0,9.86,5.92,11.47,0.357,0.306,0.336,middle,all_phases_bowler,1.0,0.71,Services
Sachin Baby,5,9,106,129,0,0,7.3,25.8,21.2,0.556,0.73,1,0.111,0.33,0.0,0.0,6.0,7.29,7.88,0.057,0.792,0.151,powerplay,middle_overs_bowler,0.4,0.75,Kerala
Sachin Kumar,6,8,131,156,3,0,7.15,26.0,21.83,0.75,1.04,1,0.125,0.328,0.375,0.0,13.0,7.2,6.0,0.046,0.687,0.267,death,middle_overs_bowler,1.25,0.25,Bihar
Sagar Trivedi,17,17,354,550,15,4,9.32,32.35,20.82,1.0,1.17,4,0.235,0.305,0.882,0.235,9.73,9.29,8.9,0.373,0.288,0.339,death,all_phases_bowler,1.29,0.8,Puducherry
Sagar Udeshi,15,19,438,444,1,1,6.08,29.6,29.2,0.789,0.79,4,0.211,0.418,0.053,0.053,6.91,5.58,6.08,0.315,0.521,0.164,middle,middle_overs_bowler,1.14,0.58,Puducherry
Sahil Lotra,1,3,66,71,1,0,6.45,71.0,66.0,0.333,0.58,0,0.0,0.303,0.333,0.0,,6.45,,0.0,1.0,0.0,middle,middle_overs_bowler,0.0,1.0,Jammu & Kashmir
Samar Quadri,8,11,231,233,0,0,6.05,29.12,28.88,0.727,0.79,2,0.182,0.407,0.0,0.0,,5.28,11.2,0.0,0.87,0.13,middle,middle_overs_bowler,1.0,0.4,Bihar
Samarth Seth,2,5,50,88,2,0,10.56,44.0,25.0,0.4,0.55,0,0.0,0.2,0.4,0.0,19.0,6.0,16.71,0.12,0.6,0.28,middle,middle_overs_bowler,,0.4,Arunachal Pradesh
