player,team,matches,innings,wickets,balls_bowled,runs_conceded,wides,noballs,dot_balls,maiden_overs,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,overs,economy,avg,strike_rate,pp_economy,mid_economy,death_economy,pp_workload_pct,mid_workload_pct,death_workload_pct,sample_reliability_score,bowling_phase,two_plus_hauls,four_plus_hauls,five_wicket_hauls,season_start_year
Krunal Pandya,Royal Challengers Bengaluru,15,15,15,304,426,10,0,88,0,19,12,372,277,35,15,50.4,8.41,28.4,20.27,9.5,8.06,14.0,0.039,0.911,0.049,1.0,mid_economy,1,1,1,2026
Kuldeep Yadav,Delhi Capitals,11,11,10,222,380,4,0,61,0,0,0,304,186,76,36,37.0,10.27,38.0,22.2,,9.81,12.67,0.0,0.838,0.162,1.0,mid_economy,1,1,1,2026
Kulwant Khejroliya,Gujarat Titans,1,1,0,12,31,1,2,3,0,0,0,31,12,0,0,2.0,15.5,,,,15.5,,0.0,1.0,0.0,0.112,mid_economy,0,0,0,2026
Kyle Jamieson,Delhi Capitals,2,2,2,42,90,0,0,11,0,75,36,0,0,15,6,7.0,12.86,45.0,21.0,12.5,,15.0,0.857,0.0,0.143,0.3,pp_economy,1,0,0,2026
Lockie Ferguson,Punjab Kings,3,3,1,66,141,4,0,20,0,66,30,19,12,56,24,11.0,12.82,141.0,66.0,13.2,9.5,14.0,0.455,0.182,0.364,0.462,mid_economy,0,0,0,2026
Lungi Ngidi,Delhi Capitals,11,11,13,248,340,7,0,96,0,133,96,63,48,144,104,41.2,8.23,26.15,19.08,8.31,7.88,8.31,0.387,0.194,0.419,1.0,mid_economy,1,1,1,2026
Madhav Tiwari,Delhi Capitals,3,3,4,60,86,8,0,20,0,0,0,64,48,22,12,10.0,8.6,21.5,15.0,,8.0,11.0,0.0,0.8,0.2,0.438,mid_economy,1,1,0,2026
Manav Suthar,Gujarat Titans,3,3,2,36,68,2,0,13,0,0,0,34,18,34,18,6.0,11.33,34.0,18.0,,11.33,11.33,0.0,0.5,0.5,0.338,mid_economy,1,0,0,2026
Manimaran Siddharth,Lucknow Super Giants,4,4,6,90,144,2,0,26,0,15,12,86,54,43,24,15.0,9.6,24.0,15.0,7.5,9.56,10.75,0.133,0.6,0.267,0.625,pp_economy,1,1,1,2026
Marco Jansen,Punjab Kings,12,12,9,284,479,10,0,86,0,177,108,144,96,158,80,47.2,10.12,53.22,31.56,9.83,9.0,11.85,0.38,0.338,0.282,1.0,mid_economy,1,1,1,2026
Marcus Stoinis,Punjab Kings,4,4,2,47,98,6,0,10,0,0,0,65,36,33,11,7.5,12.51,49.0,23.5,,10.83,18.0,0.0,0.766,0.234,0.446,mid_economy,1,0,0,2026
Matheesha Pathirana,Kolkata Knight Riders,1,1,0,8,9,2,0,4,0,9,8,0,0,0,0,1.2,6.75,,,6.75,,,1.0,0.0,0.0,0.096,pp_economy,0,0,0,2026
Matt Henry,Chennai Super Kings,3,3,2,60,130,1,0,10,0,77,36,41,18,12,6,10.0,13.0,65.0,30.0,12.83,13.67,12.0,0.6,0.3,0.1,0.438,death_economy,1,0,0,2026
Matthew Short,Chennai Super Kings,2,2,0,19,39,1,0,5,0,38,18,1,1,0,0,3.1,12.32,,,12.67,6.0,,0.947,0.053,0.0,0.204,mid_economy,0,0,0,2026
Mayank Markande,Mumbai Indians,3,3,0,30,76,1,0,5,0,0,0,76,30,0,0,5.0,15.2,,,,15.2,,0.0,1.0,0.0,0.312,mid_economy,0,0,0,2026
Mayank Yadav,Lucknow Super Giants,4,4,0,96,181,4,0,36,0,18,18,130,60,33,18,16.0,11.31,,,6.0,13.0,11.0,0.188,0.625,0.188,0.65,pp_economy,0,0,0,2026
Mitchell Santner,Mumbai Indians,4,4,5,84,125,3,0,32,0,41,18,77,60,7,6,14.0,8.93,25.0,16.8,13.67,7.7,7.0,0.214,0.714,0.071,0.6,death_economy,1,1,1,2026
Mitchell Starc,Delhi Capitals,6,6,13,131,217,7,0,53,0,110,66,46,30,61,35,21.5,9.94,16.69,10.08,10.0,9.2,10.46,0.504,0.229,0.267,0.875,mid_economy,1,1,1,2026
Mohammed Shami,Lucknow Super Giants,13,13,12,306,457,19,0,132,0,229,180,109,72,119,54,51.0,8.96,38.08,25.5,7.63,9.08,13.22,0.588,0.235,0.176,1.0,pp_economy,1,1,1,2026
Mohammed Siraj,Gujarat Titans,17,17,20,372,556,12,0,172,1,372,282,34,18,150,72,62.0,8.97,27.8,18.6,7.91,11.33,12.5,0.758,0.048,0.194,1.0,pp_economy,1,1,1,2026
Mohsin Khan,Lucknow Super Giants,7,7,11,168,228,3,0,69,3,109,84,77,54,42,30,28.0,8.14,20.73,15.27,7.79,8.56,8.4,0.5,0.321,0.179,0.938,pp_economy,1,1,1,2026
Mukesh Choudhary,Chennai Super Kings,8,8,9,168,247,8,0,72,0,147,108,44,30,56,30,28.0,8.82,27.44,18.67,8.17,8.8,11.2,0.643,0.179,0.179,1.0,pp_economy,1,1,1,2026
Mukesh Kumar,Delhi Capitals,10,10,8,188,352,14,1,62,0,190,102,77,44,85,42,31.2,11.23,44.0,23.5,11.18,10.5,12.14,0.543,0.234,0.223,1.0,mid_economy,1,1,1,2026
Nandre Burger,Rajasthan Royals,13,13,14,261,425,16,1,110,1,245,156,109,60,71,45,43.3,9.77,30.36,18.64,9.42,10.9,9.47,0.598,0.23,0.172,1.0,pp_economy,1,1,1,2026
Natarajan,Delhi Capitals,10,10,5,191,355,13,0,43,0,18,12,207,105,130,74,31.5,11.15,71.0,38.2,9.0,11.83,10.54,0.063,0.55,0.387,1.0,pp_economy,1,1,1,2026
Navdeep Saini,Kolkata Knight Riders,1,1,0,18,37,1,0,6,0,17,6,20,12,0,0,3.0,12.33,,,17.0,10.0,,0.333,0.667,0.0,0.138,mid_economy,0,0,0,2026
Nitish Rana,Delhi Capitals,1,1,1,24,55,2,0,7,0,26,12,29,12,0,0,4.0,13.75,55.0,24.0,13.0,14.5,,0.5,0.5,0.0,0.162,pp_economy,0,0,0,2026
Nitish Reddy,Sunrisers Hyderabad,14,14,9,186,323,10,1,57,0,113,66,193,108,17,12,31.0,10.42,35.89,20.67,10.27,10.72,8.5,0.355,0.581,0.065,1.0,death_economy,1,1,1,2026
Noor Ahmad,Chennai Super Kings,14,14,13,306,425,7,1,94,0,15,6,373,276,37,24,51.0,8.33,32.69,23.54,15.0,8.11,9.25,0.02,0.902,0.078,1.0,mid_economy,1,1,1,2026
Pat Cummins,Sunrisers Hyderabad,8,8,8,192,301,7,2,70,0,172,90,67,60,62,42,32.0,9.41,37.62,24.0,11.47,6.7,8.86,0.469,0.312,0.219,1.0,mid_economy,1,1,1,2026
Praful Hinge,Sunrisers Hyderabad,7,7,14,156,303,7,3,62,0,125,66,84,36,94,54,26.0,11.65,21.64,11.14,11.36,14.0,10.44,0.423,0.231,0.346,0.938,death_economy,1,1,1,2026
Prashant Veer,Chennai Super Kings,1,1,0,12,25,0,0,5,0,18,6,7,6,0,0,2.0,12.5,,,18.0,7.0,,0.5,0.5,0.0,0.112,mid_economy,0,0,0,2026
Prasidh Krishna,Gujarat Titans,12,12,18,234,407,8,0,79,0,28,12,255,162,124,60,39.0,10.44,22.61,13.0,14.0,9.44,12.4,0.051,0.692,0.256,1.0,mid_economy,1,1,1,2026
Prince Yadav,Lucknow Super Giants,14,15,19,312,461,17,0,119,0,169,114,125,96,167,102,52.0,8.87,24.26,16.42,8.89,7.81,9.82,0.365,0.308,0.327,1.0,mid_economy,1,1,1,2026
Raghu Sharma,Mumbai Indians,5,5,1,90,130,0,0,23,0,0,0,116,84,14,6,15.0,8.67,130.0,90.0,,8.29,14.0,0.0,0.933,0.067,0.688,mid_economy,0,0,0,2026
Rahul Chahar,Chennai Super Kings,1,1,0,24,46,1,0,4,0,0,0,32,18,14,6,4.0,11.5,,,,10.67,14.0,0.0,0.75,0.25,0.162,mid_economy,0,0,0,2026
Raj Bawa,Mumbai Indians,2,2,2,24,47,5,1,7,0,0,0,33,18,14,6,4.0,11.75,23.5,12.0,,11.0,14.0,0.0,0.75,0.25,0.225,mid_economy,1,0,0,2026
Ramakrishna Ghosh,Chennai Super Kings,1,1,1,18,24,0,0,6,0,0,0,24,18,0,0,3.0,8.0,24.0,18.0,,8.0,,0.0,1.0,0.0,0.138,mid_economy,0,0,0,2026
Ramandeep Singh,Kolkata Knight Riders,2,2,1,16,30,4,0,1,0,0,0,14,6,16,10,2.4,11.25,30.0,16.0,,14.0,9.6,0.0,0.375,0.625,0.192,death_economy,0,0,0,2026
Rashid Khan,Gujarat Titans,17,17,21,341,508,7,0,117,0,9,12,392,275,107,54,56.5,8.94,24.19,16.24,4.5,8.55,11.89,0.035,0.806,0.158,1.0,pp_economy,1,1,1,2026
Rasikh Salam Dar,Royal Challengers Bengaluru,12,12,19,257,404,12,2,84,1,143,102,124,72,137,83,42.5,9.43,21.26,13.53,8.41,10.33,9.9,0.397,0.28,0.323,1.0,pp_economy,1,1,1,2026
Ravi Bishnoi,Rajasthan Royals,9,9,11,155,251,7,1,42,0,20,18,192,114,39,23,25.5,9.72,22.82,14.09,6.67,10.11,10.17,0.116,0.735,0.148,1.0,pp_economy,1,1,1,2026
Ravindra Jadeja,Rajasthan Royals,12,12,10,197,276,4,0,53,0,0,0,276,197,0,0,32.5,8.41,27.6,19.7,,8.41,,0.0,1.0,0.0,1.0,mid_economy,1,1,1,2026
Ravindra Jadeka,Rajasthan Royals,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0.1,6.0,,,,6.0,,0.0,1.0,0.0,0.067,mid_economy,0,0,0,2026
Riyan Parag,Rajasthan Royals,4,4,2,24,38,1,0,5,0,0,0,38,24,0,0,4.0,9.5,19.0,12.0,,9.5,,0.0,1.0,0.0,0.35,mid_economy,1,0,0,2026
Romario Shepherd,Royal Challengers Bengaluru,13,13,7,150,298,7,1,37,0,0,0,201,108,97,42,25.0,11.92,42.57,21.43,,11.17,13.86,0.0,0.72,0.28,1.0,mid_economy,1,1,1,2026
Sai Kishore,Gujarat Titans,2,2,1,24,46,0,0,6,0,0,0,46,24,0,0,4.0,11.5,46.0,24.0,,11.5,,0.0,1.0,0.0,0.225,mid_economy,0,0,0,2026
Sakib Hussain,Sunrisers Hyderabad,11,11,16,252,392,20,1,87,0,106,60,171,114,115,78,42.0,9.33,24.5,15.75,10.6,9.0,8.85,0.238,0.452,0.31,1.0,death_economy,1,1,1,2026
Sandeep Sharma,Rajasthan Royals,6,6,6,118,223,8,0,32,0,94,54,24,18,105,46,19.4,11.34,37.17,19.67,10.44,8.0,13.7,0.458,0.153,0.39,0.867,mid_economy,1,1,1,2026
Saurabh Dubey,Kolkata Knight Riders,4,4,5,77,100,8,0,41,0,57,52,0,0,43,25,12.5,7.79,20.0,15.4,6.58,,10.32,0.675,0.0,0.325,0.571,pp_economy,1,1,1,2026
Shahbaz Ahmed,Lucknow Super Giants,5,5,5,67,129,2,0,16,0,0,0,93,54,36,13,11.1,11.55,25.8,13.4,,10.33,16.62,0.0,0.806,0.194,0.592,mid_economy,1,1,1,2026
Shardul Thakur,Mumbai Indians,7,7,12,132,269,15,2,36,0,59,24,137,72,73,36,22.0,12.23,22.42,11.0,14.75,11.42,12.17,0.182,0.545,0.273,0.938,mid_economy,1,1,1,2026
Shashank Singh,Punjab Kings,4,4,4,60,88,2,0,17,0,0,0,61,48,27,12,10.0,8.8,22.0,15.0,,7.62,13.5,0.0,0.8,0.2,0.5,mid_economy,1,1,0,2026
Shivam Dube,Chennai Super Kings,4,4,1,30,64,2,0,6,0,0,0,64,30,0,0,5.0,12.8,64.0,30.0,,12.8,,0.0,1.0,0.0,0.375,mid_economy,0,0,0,2026
Shivang Kumar,Sunrisers Hyderabad,13,13,11,233,373,5,0,63,0,23,6,325,215,25,12,38.5,9.61,33.91,21.18,23.0,9.07,12.5,0.026,0.923,0.052,1.0,mid_economy,1,1,1,2026
Spencer Johnson,Chennai Super Kings,3,3,2,66,108,4,1,28,0,74,42,21,18,13,6,11.0,9.82,54.0,33.0,10.57,7.0,13.0,0.636,0.273,0.091,0.462,mid_economy,1,0,0,2026
