player,team,matches,innings,runs,balls_faced,fours,sixes,dismissals,not_outs,high_score,ducks,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,dot_balls,strike_rate,average,pp_strike_rate,mid_strike_rate,death_strike_rate,batting_phase,sample_reliability_score,balls_faced_per_match,boundary_rate,six_rate,four_rate,dot_ball_rate,season_start_year
Ayush Badoni,Lucknow Super Giants,10,10,215,141,23,9,10,0,54,3,95,52,96,75,24,14,50,152.48,21.5,182.69,128.0,171.43,pp_strike_rate,1.0,14.1,0.227,0.064,0.163,0.355,2026
Ayush Mhatre,Chennai Super Kings,6,6,201,113,20,12,5,1,73,1,98,53,97,53,6,7,38,177.88,40.2,184.91,183.02,85.71,pp_strike_rate,0.846,18.83,0.283,0.106,0.177,0.336,2026
Azmatullah Omarzai,Punjab Kings,2,2,52,27,3,5,2,0,38,0,0,0,12,7,40,20,10,192.59,26.0,,171.43,200.0,death_strike_rate,0.238,13.5,0.296,0.185,0.111,0.37,2026
Bhuvneshwar Kumar,Royal Challengers Bengaluru,4,4,34,26,3,1,0,4,15,0,0,0,4,3,30,23,10,130.77,,,133.33,130.43,mid_strike_rate,0.358,6.5,0.154,0.038,0.115,0.385,2026
Brijesh Sharma,Rajasthan Royals,2,2,2,4,0,0,0,2,1,0,0,0,0,0,2,4,2,50.0,,,,50.0,death_strike_rate,0.142,2.0,0.0,0.0,0.0,0.5,2026
Cameron Green,Kolkata Knight Riders,14,14,322,221,22,17,8,6,79,1,61,51,200,128,61,42,68,145.7,40.25,119.61,156.25,145.24,mid_strike_rate,1.0,15.79,0.176,0.077,0.1,0.308,2026
Cooper Connolly,Punjab Kings,13,13,491,301,43,32,11,2,107,1,137,103,260,161,94,37,109,163.12,44.64,133.01,161.49,254.05,death_strike_rate,1.0,23.15,0.249,0.106,0.143,0.362,2026
Corbin Bosch,Mumbai Indians,4,4,50,31,5,2,1,3,32,0,0,0,0,0,50,31,10,161.29,50.0,,,161.29,death_strike_rate,0.379,7.75,0.226,0.065,0.161,0.323,2026
Danish Malewar,Mumbai Indians,2,2,2,5,0,0,2,0,2,1,2,5,0,0,0,0,3,40.0,1.0,40.0,,,pp_strike_rate,0.146,2.5,0.0,0.0,0.0,0.6,2026
Dasun Shanaka,Rajasthan Royals,5,5,63,46,3,4,4,1,29,0,0,0,40,29,23,17,18,136.96,15.75,,137.93,135.29,mid_strike_rate,0.504,9.2,0.152,0.087,0.065,0.391,2026
David Miller,Delhi Capitals,10,10,211,137,15,14,6,4,51,1,4,8,79,68,128,61,45,154.01,35.17,50.0,116.18,209.84,death_strike_rate,1.0,13.7,0.212,0.102,0.109,0.328,2026
David Payne,Sunrisers Hyderabad,1,1,6,5,0,0,0,1,6,0,0,0,0,0,6,5,1,120.0,,,,120.0,death_strike_rate,0.083,5.0,0.0,0.0,0.0,0.2,2026
Deepak Chahar,Mumbai Indians,4,4,25,19,3,1,2,2,10,0,0,0,6,5,19,14,10,131.58,12.5,,120.0,135.71,death_strike_rate,0.329,4.75,0.211,0.053,0.158,0.526,2026
Devdutt Padikkal,Royal Challengers Bengaluru,15,15,464,275,49,24,14,1,61,0,245,139,219,136,0,0,86,168.73,33.14,176.26,161.03,,pp_strike_rate,1.0,18.33,0.265,0.087,0.178,0.313,2026
Dewald Brevis,Chennai Super Kings,8,8,151,118,8,10,8,0,44,1,3,6,110,91,38,21,45,127.97,18.88,50.0,120.88,180.95,death_strike_rate,0.992,14.75,0.153,0.085,0.068,0.381,2026
Dhruv Jurel,Rajasthan Royals,16,16,514,332,47,24,14,2,81,2,128,80,311,202,75,50,101,154.82,36.71,160.0,153.96,150.0,pp_strike_rate,1.0,20.75,0.214,0.072,0.142,0.304,2026
Digvesh Singh Rathi,Lucknow Super Giants,2,2,2,5,0,0,0,2,2,0,0,0,0,0,2,5,3,40.0,,,,40.0,death_strike_rate,0.146,2.5,0.0,0.0,0.0,0.6,2026
Donovan Ferreira,Rajasthan Royals,13,13,317,177,26,23,9,4,69,1,14,11,119,83,184,83,64,179.1,35.22,127.27,143.37,221.69,death_strike_rate,1.0,13.62,0.277,0.13,0.147,0.362,2026
Dushmantha Chameera,Delhi Capitals,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,3,3,0.0,,,,0.0,death_strike_rate,0.075,3.0,0.0,0.0,0.0,1.0,2026
Eshan Malinga,Sunrisers Hyderabad,3,3,7,17,0,0,1,2,5,0,0,0,1,4,6,13,10,41.18,7.0,,25.0,46.15,death_strike_rate,0.258,5.67,0.0,0.0,0.0,0.588,2026
Finn Allen,Kolkata Knight Riders,11,11,349,163,33,28,10,1,100,0,207,113,142,50,0,0,58,214.11,34.9,183.19,284.0,,mid_strike_rate,1.0,14.82,0.374,0.172,0.202,0.356,2026
George Linde,Lucknow Super Giants,3,3,31,21,6,0,3,0,16,0,0,0,0,0,31,21,10,147.62,10.33,,,147.62,death_strike_rate,0.275,7.0,0.286,0.0,0.286,0.476,2026
Glenn Phillips,Gujarat Titans,5,5,67,54,4,2,4,1,25,0,4,5,32,26,31,23,14,124.07,16.75,80.0,123.08,134.78,death_strike_rate,0.538,10.8,0.111,0.037,0.074,0.259,2026
Hardik Pandya,Mumbai Indians,10,10,206,149,21,7,9,1,40,0,14,9,112,81,80,59,50,138.26,22.89,155.56,138.27,135.59,pp_strike_rate,1.0,14.9,0.188,0.047,0.141,0.336,2026
Harpreet Brar,Punjab Kings,1,1,5,3,1,0,0,1,5,0,0,0,0,0,5,3,1,166.67,,,,166.67,death_strike_rate,0.075,3.0,0.333,0.0,0.333,0.333,2026
Harsh Dubey,Sunrisers Hyderabad,4,4,13,9,2,0,2,2,9,1,0,0,0,0,13,9,3,144.44,6.5,,,144.44,death_strike_rate,0.288,2.25,0.222,0.0,0.222,0.333,2026
Harshal Patel,Sunrisers Hyderabad,3,3,10,9,2,0,2,1,6,1,0,0,0,0,10,9,5,111.11,5.0,,,111.11,death_strike_rate,0.225,3.0,0.222,0.0,0.222,0.556,2026
Heinrich Klaasen,Sunrisers Hyderabad,15,15,624,390,48,31,13,2,69,0,21,21,418,265,185,104,105,160.0,48.0,100.0,157.74,177.88,death_strike_rate,1.0,26.0,0.203,0.079,0.123,0.269,2026
Himmat Singh,Lucknow Super Giants,5,5,92,69,5,5,3,2,40,0,0,0,27,30,65,39,21,133.33,30.67,,90.0,166.67,death_strike_rate,0.6,13.8,0.145,0.072,0.072,0.304,2026
Ishan Kishan,Sunrisers Hyderabad,15,15,604,331,60,32,14,1,91,2,188,104,354,195,62,32,87,182.48,43.14,180.77,181.54,193.75,death_strike_rate,1.0,22.07,0.278,0.097,0.181,0.263,2026
Jacob Bethell,Royal Challengers Bengaluru,7,7,96,77,12,3,7,0,27,0,83,61,13,16,0,0,33,124.68,13.71,136.07,81.25,,pp_strike_rate,0.758,11.0,0.195,0.039,0.156,0.429,2026
Jaiswal,Rajasthan Royals,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,100.0,,,100.0,,mid_strike_rate,0.067,1.0,0.0,0.0,0.0,0.0,2026
Jamie Overton,Chennai Super Kings,6,6,136,86,13,6,5,1,43,0,0,0,47,30,89,56,26,158.14,27.2,,156.67,158.93,death_strike_rate,0.733,14.33,0.221,0.07,0.151,0.302,2026
Jason Holder,Gujarat Titans,7,7,65,52,3,3,5,2,23,1,0,3,12,10,53,39,18,125.0,13.0,0.0,120.0,135.9,death_strike_rate,0.654,7.43,0.115,0.058,0.058,0.346,2026
Jasprit Bumrah,Mumbai Indians,2,2,7,7,1,0,1,1,5,0,0,0,5,2,2,5,3,100.0,7.0,,250.0,40.0,mid_strike_rate,0.154,3.5,0.143,0.0,0.143,0.429,2026
Jaydev Unadkat,Sunrisers Hyderabad,1,1,4,3,0,0,0,1,4,0,0,0,0,0,4,3,1,133.33,,,,133.33,death_strike_rate,0.075,3.0,0.0,0.0,0.0,0.333,2026
Jitesh Sharma,Royal Challengers Bengaluru,12,12,117,96,9,6,9,3,23,1,0,0,62,54,55,42,43,121.88,13.0,,114.81,130.95,death_strike_rate,0.9,8.0,0.156,0.062,0.094,0.448,2026
Jofra Archer,Rajasthan Royals,10,10,64,47,4,4,5,5,32,0,0,0,15,15,49,32,19,136.17,12.8,,100.0,153.12,death_strike_rate,0.696,4.7,0.17,0.085,0.085,0.404,2026
Jos Buttler,Gujarat Titans,17,17,526,345,51,26,14,3,60,0,167,103,284,198,75,44,119,152.46,37.57,162.14,143.43,170.45,death_strike_rate,1.0,20.29,0.223,0.075,0.148,0.345,2026
Josh Hazlewood,Royal Challengers Bengaluru,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0.0,0.0,,,0.0,death_strike_rate,0.067,1.0,0.0,0.0,0.0,1.0,2026
Josh Inglis,Lucknow Super Giants,5,5,262,143,31,12,5,0,81,0,175,78,84,61,3,4,42,183.22,52.4,224.36,137.7,75.0,pp_strike_rate,0.812,28.6,0.301,0.084,0.217,0.294,2026
KL Rahul,Delhi Capitals,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0,,0.0,,,pp_strike_rate,0.067,1.0,0.0,0.0,0.0,1.0,2026
Kagiso Rabada,Gujarat Titans,4,4,47,38,5,2,2,2,23,0,0,0,21,18,26,20,17,123.68,23.5,,116.67,130.0,death_strike_rate,0.408,9.5,0.184,0.053,0.132,0.447,2026
Kartik Sharma,Chennai Super Kings,11,11,295,216,24,16,9,2,71,0,31,23,187,149,77,44,84,136.57,32.78,134.78,125.5,175.0,death_strike_rate,1.0,19.64,0.185,0.074,0.111,0.389,2026
Kartik Tyagi,Kolkata Knight Riders,3,3,11,10,1,1,3,0,6,1,0,0,4,2,7,8,7,110.0,3.67,,200.0,87.5,mid_strike_rate,0.229,3.33,0.2,0.1,0.1,0.7,2026
Karun Nair,Delhi Capitals,2,2,18,18,3,0,2,0,13,0,6,9,12,9,0,0,10,100.0,9.0,66.67,133.33,,mid_strike_rate,0.2,9.0,0.167,0.0,0.167,0.556,2026
Krish Bhagat,Mumbai Indians,2,2,10,21,0,0,1,1,7,0,0,0,4,8,6,13,12,47.62,10.0,,50.0,46.15,mid_strike_rate,0.212,10.5,0.0,0.0,0.0,0.571,2026
Krunal Pandya,Royal Challengers Bengaluru,9,9,226,155,20,11,5,4,73,0,9,10,123,89,94,56,53,145.81,45.2,90.0,138.2,167.86,death_strike_rate,1.0,17.22,0.2,0.071,0.129,0.342,2026
Kuldeep Yadav,Delhi Capitals,4,4,9,21,0,0,2,2,4,0,0,0,3,8,6,13,12,42.86,4.5,,37.5,46.15,death_strike_rate,0.338,5.25,0.0,0.0,0.0,0.571,2026
Kumar Kushagra,Gujarat Titans,1,1,18,14,3,0,1,0,18,0,17,12,1,2,0,0,6,128.57,18.0,141.67,50.0,,pp_strike_rate,0.121,14.0,0.214,0.0,0.214,0.429,2026
Kyle Jamieson,Delhi Capitals,1,1,12,13,1,1,1,0,12,0,0,0,12,13,0,0,9,92.31,12.0,,92.31,,mid_strike_rate,0.117,13.0,0.154,0.077,0.077,0.692,2026
Lhuan-dre Pretorius,Rajasthan Royals,2,2,7,8,0,0,1,1,7,1,0,2,2,2,5,4,3,87.5,7.0,0.0,100.0,125.0,death_strike_rate,0.158,4.0,0.0,0.0,0.0,0.375,2026
Liam Livingstone,Sunrisers Hyderabad,2,2,15,25,0,1,2,0,14,0,12,16,2,4,1,5,17,60.0,7.5,75.0,50.0,20.0,pp_strike_rate,0.229,12.5,0.04,0.04,0.0,0.68,2026
Lungi Ngidi,Delhi Capitals,3,3,4,7,0,0,2,1,3,1,0,0,0,0,4,7,3,57.14,2.0,,,57.14,death_strike_rate,0.217,2.33,0.0,0.0,0.0,0.429,2026
Madhav Tiwari,Delhi Capitals,1,1,18,8,2,1,0,1,18,0,0,0,0,0,18,8,1,225.0,,,,225.0,death_strike_rate,0.096,8.0,0.375,0.125,0.25,0.125,2026
Manish Pandey,Kolkata Knight Riders,2,2,70,49,8,2,2,0,45,0,29,20,41,29,0,0,15,142.86,35.0,145.0,141.38,,pp_strike_rate,0.329,24.5,0.204,0.041,0.163,0.306,2026
Marco Jansen,Punjab Kings,5,5,51,45,1,3,4,1,20,0,0,0,4,7,47,38,16,113.33,12.75,,57.14,123.68,death_strike_rate,0.5,9.0,0.089,0.067,0.022,0.356,2026
Marcus Stoinis,Punjab Kings,9,9,216,120,23,11,6,3,62,1,22,10,71,54,123,56,34,180.0,36.0,220.0,131.48,219.64,pp_strike_rate,1.0,13.33,0.283,0.092,0.192,0.283,2026
Matt Henry,Chennai Super Kings,2,2,7,10,1,0,2,0,5,0,0,0,5,5,2,5,6,70.0,3.5,,100.0,40.0,mid_strike_rate,0.167,5.0,0.1,0.0,0.1,0.6,2026
Matthew Short,Chennai Super Kings,3,3,60,51,6,1,3,0,34,0,31,25,29,25,0,1,19,117.65,20.0,124.0,116.0,0.0,pp_strike_rate,0.4,17.0,0.137,0.02,0.118,0.373,2026
