player,team,season_start_year,batting_strength_score,bowling_strength_score,allrounder_index,is_batting_allrounder,is_bowling_allrounder,allrounder_role,total_runs,total_matches,total_balls_faced,avg_runs,strike_rate,batting_role,total_wickets,total_matches_bowled,total_balls_bowled,avg_wickets_per_match,economy_rate,bowling_role,cluster_id,cluster_label,archetype_role
Misbah-ul-Haq,Royal Challengers Bengaluru,2008.0,63.17,0.0,31.58,False,False,pure_batter,117.0,8.0,81.0,14.62,144.44,top_order_aggressor,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
Mohammad Ashraful,Mumbai Indians,2009.0,7.7,0.0,3.85,False,False,pure_batter,2.0,1.0,10.0,2.0,20.0,middle_order,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
Mohammad Asif,Delhi Capitals,2008.0,18.02,80.55,49.28,False,False,pure_bowler,3.0,2.0,6.0,1.5,50.0,tailender,8.0,8.0,192.0,1.0,9.25,death_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
Mohammad Hafeez,Kolkata Knight Riders,2008.0,29.79,65.2,47.5,False,False,utility_player,64.0,8.0,83.0,8.0,77.11,anchor_opener,2.0,4.0,60.0,0.5,6.8,middle_overs_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
Mohammad Nabi,Sunrisers Hyderabad,2024.0,55.72,69.02,62.37,False,True,bowling_allrounder,215.0,19.0,150.0,11.32,143.33,tailender,15.0,23.0,417.0,0.652,7.44,powerplay_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
Mohammed Shami,Delhi Capitals,2026.0,37.81,85.73,61.77,False,False,utility_player,115.0,33.0,110.0,3.48,104.55,tailender,140.0,127.0,2792.0,1.102,8.59,powerplay_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
Mohammed Siraj,Royal Challengers Bengaluru,2026.0,32.89,82.86,57.88,False,False,utility_player,112.0,22.0,126.0,5.09,88.89,tailender,118.0,117.0,2498.0,1.009,8.69,powerplay_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
Mohit Rathee,Punjab Kings,2023.0,17.85,40.45,29.15,False,False,pure_batter,1.0,1.0,2.0,1.0,50.0,tailender,0.0,1.0,12.0,0.0,14.5,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
Mohsin Khan,Lucknow Super Giants,2026.0,32.5,94.6,63.55,False,False,pure_bowler,25.0,7.0,28.0,3.57,89.29,tailender,36.0,27.0,582.0,1.333,8.15,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
Monu Kumar,Chennai Super Kings,2020.0,0.0,44.32,22.16,False,False,unknown,,,,,,,0.0,1.0,12.0,0.0,10.0,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
Mujeeb Ur Rahman,Punjab Kings,2021.0,28.7,80.41,54.56,False,False,pure_bowler,12.0,6.0,15.0,2.0,80.0,tailender,20.0,20.0,446.0,1.0,8.34,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
Mukesh Choudhary,Chennai Super Kings,2022.0,36.05,85.59,60.82,False,False,pure_bowler,6.0,2.0,6.0,3.0,100.0,tailender,20.0,18.0,351.0,1.111,9.81,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
Mukesh Kumar,Delhi Capitals,2024.0,20.15,82.14,51.14,False,False,pure_bowler,10.0,5.0,18.0,2.0,55.56,tailender,42.0,39.0,786.0,1.077,10.51,death_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
Musheer Khan,Punjab Kings,2025.0,0.0,71.68,35.84,False,False,pure_bowler,0.0,1.0,3.0,0.0,0.0,tailender,1.0,1.0,12.0,1.0,13.5,part_time_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
Mustafizur Rahman,Rajasthan Royals,2025.0,19.61,84.03,51.82,False,False,pure_bowler,13.0,7.0,24.0,1.86,54.17,tailender,65.0,60.0,1364.0,1.083,8.13,death_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
N Burger,Rajasthan Royals,2026.0,22.05,84.83,53.44,False,False,pure_bowler,3.0,1.0,5.0,3.0,60.0,tailender,16.0,15.0,297.0,1.067,9.72,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
N Jagadeesan,Kolkata Knight Riders,2023.0,53.24,0.0,26.62,False,False,pure_batter,162.0,10.0,147.0,16.2,110.2,anchor_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
N Pooran,Lucknow Super Giants,2026.0,77.68,0.0,38.84,False,False,pure_batter,2375.0,94.0,1458.0,25.27,162.89,finisher,,,,,,,5,allrounder_pure_batter_cluster_5,pure_batter
N Rana,Kolkata Knight Riders,2026.0,67.4,56.99,62.2,True,False,batting_allrounder,3055.0,119.0,2212.0,25.67,138.11,top_order_anchor,10.0,27.0,216.0,0.37,9.03,middle_overs_bowler,5,allrounder_pure_batter_cluster_5,pure_batter
N Saini,Punjab Kings,2012.0,45.65,0.0,22.82,False,False,pure_batter,140.0,10.0,141.0,14.0,99.29,middle_order,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
N Thushara,Mumbai Indians,2025.0,0.0,84.08,42.04,False,False,pure_bowler,,,,,,,9.0,8.0,180.0,1.125,9.43,death_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
N Wadhera,Punjab Kings,2026.0,65.5,41.3,53.4,False,False,pure_batter,784.0,36.0,554.0,21.78,141.52,finisher,0.0,2.0,17.0,0.0,7.76,part_time_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
NA Saini,Rajasthan Royals,2023.0,0.0,39.45,19.73,False,False,unknown,,,,,,,0.0,1.0,12.0,0.0,17.0,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
NB Singh,Gujarat Lions,2017.0,0.0,72.68,36.34,False,False,pure_bowler,,,,,,,1.0,2.0,24.0,0.5,3.75,part_time_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
ND Doshi,Rajasthan Royals,2011.0,0.0,64.84,32.42,False,False,pure_bowler,0.0,1.0,13.0,0.0,0.0,tailender,2.0,4.0,56.0,0.5,8.46,part_time_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
NJ Maddinson,Royal Challengers Bengaluru,2015.0,35.67,0.0,17.84,False,False,pure_batter,20.0,3.0,21.0,6.67,95.24,anchor_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
NJ Rimmington,Punjab Kings,2011.0,35.35,51.37,43.36,False,False,pure_batter,1.0,1.0,1.0,1.0,100.0,tailender,0.0,1.0,18.0,0.0,6.33,part_time_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
NK Patel,Rajasthan Royals,2009.0,52.64,0.0,26.32,False,False,pure_batter,121.0,6.0,119.0,20.17,101.68,anchor_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
