player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,team,typical_position,avg_position,position_role,batting_role
AL Menaria,401,23,356,24,18,21,17.43,40,0,0.087,1,0.043,13.23,5,0,0.217,0.0,112.64,0.118,0.051,0.067,0.509,0.396,0.02,0.738,0.242,100.0,110.45,121.25,death,18.89,16.5,Rajasthan Royals,4,4.695652173913044,top_order,middle_order
AM Nayar,672,50,577,55,20,38,13.44,45,0,0.24,3,0.06,12.26,6,0,0.12,0.0,116.46,0.13,0.035,0.095,0.506,0.386,0.097,0.442,0.461,89.04,96.74,157.36,death,10.8,14.57,Mumbai Indians,6,5.18,middle_order,finisher
AM Rahane,5184,188,4127,523,132,169,27.57,105,0,0.101,13,0.069,23.97,73,36,0.388,0.191,125.61,0.159,0.032,0.127,0.556,0.361,0.509,0.393,0.098,123.28,122.4,157.59,death,31.07,24.37,Rajasthan Royals,1,1.9734042553191489,opener,aggressive_opener
AN Ahmed,36,6,26,4,1,1,6.0,18,1,0.833,0,0.0,6.03,0,0,0.0,0.0,138.46,0.192,0.038,0.154,0.611,0.385,0.0,0.0,1.0,,,138.46,death,4.5,6.75,Royal Challengers Bangalore,9,9.0,tailender,tailender
AP Tare,339,27,273,40,11,24,12.56,59,0,0.111,5,0.185,13.08,2,1,0.074,0.037,124.18,0.187,0.04,0.147,0.667,0.476,0.667,0.215,0.118,111.88,162.22,153.85,mid,17.0,9.94,Mumbai Indians,2,3.5,opener,anchor_opener
AR Patel,1919,126,1436,130,94,90,15.23,66,0,0.286,8,0.063,13.64,19,3,0.151,0.024,133.64,0.156,0.065,0.091,0.565,0.329,0.038,0.459,0.504,110.77,118.28,154.23,death,16.22,14.68,Delhi Capitals,7,6.3858267716535435,lower_order,tailender
AS Joseph,27,5,32,3,0,1,5.4,15,0,0.8,1,0.2,6.02,0,0,0.0,0.0,84.38,0.094,0.0,0.094,0.444,0.5,0.0,0.111,0.889,,100.0,82.76,mid,5.33,5.5,Gujarat Titans,9,9.0,tailender,tailender
AS Rajpoot,26,7,41,2,1,5,3.71,8,1,0.286,0,0.0,2.75,0,0,0.0,0.0,63.41,0.073,0.024,0.049,0.538,0.659,0.0,0.038,0.962,,20.0,69.44,death,,3.71,Kings XI Punjab,11,10.571428571428571,tailender,tailender
AS Raut,194,16,167,13,7,9,12.12,36,0,0.438,1,0.062,11.89,2,0,0.125,0.0,116.17,0.12,0.042,0.078,0.485,0.371,0.036,0.345,0.619,116.67,115.52,116.5,pp,12.33,12.08,Rajasthan Royals,7,6.8125,lower_order,tailender
AS Roy,27,9,28,3,0,5,3.0,13,0,0.444,4,0.444,4.33,0,0,0.0,0.0,96.43,0.107,0.0,0.107,0.444,0.464,0.148,0.0,0.852,80.0,0.0,127.78,death,6.5,2.0,Kolkata Knight Riders,9,7.777777777777778,tailender,tailender
AS Yadav,49,6,39,5,2,5,8.17,16,0,0.167,1,0.167,5.88,0,0,0.0,0.0,125.64,0.179,0.051,0.128,0.653,0.436,0.0,0.204,0.796,,100.0,134.48,death,,8.17,Deccan Chargers,7,7.0,lower_order,tailender
AT Rayudu,4348,187,3409,359,173,155,23.25,100,0,0.171,15,0.08,20.8,60,23,0.321,0.123,127.54,0.156,0.051,0.105,0.569,0.35,0.179,0.55,0.271,106.15,120.87,168.91,death,25.25,20.64,Mumbai Indians,4,4.251336898395722,top_order,finisher
AUK Pathan,39,7,23,5,2,5,5.57,14,0,0.286,2,0.286,5.65,0,0,0.0,0.0,169.57,0.304,0.087,0.217,0.821,0.478,0.359,0.282,0.359,280.0,137.5,140.0,pp,5.33,5.75,Royal Challengers Bangalore,6,5.0,middle_order,middle_order
Abdul Samad,815,56,555,52,51,44,14.55,45,0,0.214,4,0.071,11.96,7,0,0.125,0.0,146.85,0.186,0.092,0.094,0.631,0.344,0.002,0.364,0.633,100.0,120.73,168.08,death,13.44,15.08,Sunrisers Hyderabad,7,6.275862068965517,lower_order,tailender
Abhishek Sharma,1945,79,1174,183,114,72,24.62,141,0,0.089,5,0.063,25.84,31,11,0.392,0.139,165.67,0.253,0.097,0.156,0.728,0.359,0.578,0.331,0.09,164.96,168.59,160.0,mid,33.37,17.66,Sunrisers Hyderabad,1,2.670886075949367,opener,aggressive_opener
Abishek Porel,661,29,441,65,27,26,22.79,65,0,0.103,2,0.069,18.89,12,3,0.414,0.103,149.89,0.209,0.061,0.147,0.638,0.322,0.478,0.434,0.088,151.92,143.5,175.76,death,30.8,18.58,Delhi Capitals,3,3.6206896551724137,top_order,top_order_aggressor
Akash Deep,25,5,14,2,2,3,5.0,17,0,0.4,2,0.4,7.14,0,0,0.0,0.0,178.57,0.286,0.143,0.143,0.8,0.357,0.0,0.2,0.8,,250.0,166.67,mid,0.0,6.25,Royal Challengers Bangalore,9,9.6,tailender,lower_order_hitter
Aman Hakim Khan,115,10,104,8,6,9,11.5,51,0,0.1,1,0.1,15.03,1,1,0.1,0.1,110.58,0.135,0.058,0.077,0.591,0.481,0.035,0.452,0.513,80.0,89.66,143.9,death,18.33,8.57,Delhi Capitals,7,7.4,lower_order,tailender
Aniket Verma,306,17,183,17,25,13,18.0,74,1,0.235,0,0.0,18.66,3,1,0.176,0.059,167.21,0.23,0.137,0.093,0.712,0.355,0.056,0.48,0.464,106.25,161.54,186.84,death,10.86,23.0,Sunrisers Hyderabad,5,5.823529411764706,middle_order,finisher
Ankit Sharma,87,10,67,7,4,7,8.7,30,0,0.3,1,0.1,10.9,1,0,0.1,0.0,129.85,0.164,0.06,0.104,0.598,0.403,0.31,0.138,0.552,117.39,120.0,141.18,death,,8.7,Rajasthan Royals,10,7.9,tailender,tailender
Anmolpreet Singh,139,9,115,19,3,9,15.44,36,0,0.0,1,0.111,14.12,3,0,0.333,0.0,120.87,0.191,0.026,0.165,0.676,0.461,0.835,0.165,0.0,127.47,95.83,,pp,19.0,14.43,Sunrisers Hyderabad,1,2.0,opener,aggressive_opener
