player,avg_position,median_position,highest_position,lowest_position,typical_position,position_role
LH Ferguson,9.272727272727273,9.0,8,11,9,tailender
LJ Wright,5.0,5.0,4,6,4,top_order
LMP Simmons,1.103448275862069,1.0,1,2,1,opener
LPC Silva,4.333333333333333,4.0,4,5,4,top_order
LR Shukla,6.323529411764706,6.0,3,8,6,middle_order
LRPL Taylor,4.62962962962963,5.0,3,7,5,middle_order
LS Livingstone,4.26530612244898,4.0,1,8,4,top_order
Lalit Yadav,5.9523809523809526,6.0,4,9,6,middle_order
Liton Das,2.0,2.0,2,2,2,opener
M Ashwin,8.384615384615385,8.0,7,10,8,lower_order
M Jansen,7.869565217391305,8.0,5,9,8,lower_order
M Kaif,4.818181818181818,5.0,1,7,5,middle_order
M Kartik,9.0625,9.0,7,10,9,tailender
M Klinger,2.0,2.0,2,2,2,opener
M Manhas,5.7631578947368425,6.0,3,7,6,middle_order
M Markande,9.454545454545455,9.0,9,11,9,tailender
M Morkel,9.130434782608695,9.0,8,11,9,tailender
M Muralitharan,10.333333333333334,10.0,10,11,10,tailender
M Ntini,10.5,10.5,10,11,10,tailender
M Prasidh Krishna,10.3,10.5,9,11,11,tailender
M Rawat,7.583333333333333,8.5,2,9,9,tailender
M Shahrukh Khan,6.092592592592593,6.0,3,8,6,middle_order
M Theekshana,9.666666666666666,10.0,9,10,10,tailender
M Tiwari,8.0,8.0,8,8,8,lower_order
M Vijay,1.3018867924528301,1.0,1,7,1,opener
M Vohra,2.235294117647059,2.0,1,9,2,opener
M de Lange,9.0,9.0,9,9,9,tailender
MA Agarwal,2.488,2.0,1,7,2,opener
MA Khote,8.0,8.0,7,9,7,lower_order
MA Starc,8.478260869565217,9.0,7,10,9,tailender
MA Wood,9.333333333333334,9.0,9,10,9,tailender
MC Henriques,4.462962962962963,5.0,3,7,3,top_order
MC Juneja,3.857142857142857,4.0,3,5,4,top_order
MD Choudhary,6.75,7.0,6,7,7,lower_order
MD Mishra,3.3529411764705883,2.0,1,6,2,opener
MD Shanaka,5.0,4.0,4,7,4,top_order
MDKJ Perera,2.0,2.0,2,2,2,opener
MEK Hussey,2.189655172413793,2.0,1,5,2,opener
MF Maharoof,6.857142857142857,7.0,4,9,7,lower_order
MG Bracewell,4.5,4.5,3,6,3,top_order
