player,team,season_start_year,batting_strength_score,bowling_strength_score,allrounder_index,is_batting_allrounder,is_bowling_allrounder,allrounder_role,total_runs,total_matches,total_balls_faced,avg_runs,strike_rate,batting_role,total_wickets,total_matches_bowled,total_balls_bowled,avg_wickets_per_match,economy_rate,bowling_role
C Sakariya,Saurashtra,2022.0,0.0,108.29,54.14,False,False,pure_bowler,,,,,,,40.0,23.0,538.0,1.739,7.26,death_bowler
CA Pujara,Saurashtra,2022.0,74.54,0.0,37.27,False,False,pure_batter,623.0,16.0,495.0,38.94,125.86,anchor_opener,,,,,,
CK Paul,Tripura,2015.0,21.22,76.4,48.81,False,False,pure_bowler,11.0,4.0,19.0,2.75,57.89,tailender,7.0,8.0,162.0,0.875,6.81,middle_overs_bowler
CM Gautam,Karnataka,2017.0,47.01,0.0,23.5,False,False,pure_batter,107.0,10.0,93.0,10.7,115.05,middle_order,,,,,,
CP Sahani,Hyderabad (India),2023.0,40.08,0.0,20.04,False,False,pure_batter,29.0,2.0,29.0,14.5,100.0,middle_order,,,,,,
CP Singh,Rajasthan,2020.0,45.73,81.86,63.8,False,False,utility_player,114.0,10.0,103.0,11.4,110.68,tailender,21.0,20.0,384.0,1.05,6.92,middle_overs_bowler
CV Milind,Hyderabad (India),2022.0,50.4,91.35,70.88,False,True,bowling_allrounder,175.0,21.0,129.0,8.33,135.66,tailender,40.0,31.0,667.0,1.29,7.99,death_bowler
CV Varun,Tamil Nadu,2023.0,5.35,104.0,54.68,False,False,pure_bowler,1.0,1.0,7.0,1.0,14.29,tailender,5.0,3.0,72.0,1.667,6.67,powerplay_bowler
Chabungbam Ishworjit,Manipur,2021.0,36.05,0.0,18.02,False,False,pure_batter,3.0,1.0,3.0,3.0,100.0,tailender,,,,,,
Chaitanya Bishnoi,Haryana,2022.0,61.53,41.18,51.36,False,False,pure_batter,755.0,32.0,643.0,23.59,117.42,anchor_opener,0.0,3.0,24.0,0.0,7.5,part_time_bowler
Chandan Ray,Tripura,2020.0,0.0,46.04,23.02,False,False,unknown,0.0,1.0,1.0,0.0,0.0,tailender,0.0,3.0,42.0,0.0,8.71,part_time_bowler
Chanderpal Saini,Railways,2017.0,43.55,52.12,47.83,False,False,pure_bowler,40.0,3.0,36.0,13.33,111.11,tailender,1.0,4.0,72.0,0.25,8.08,middle_overs_bowler
Cheepurapalli Stephen,Andhra,2015.0,17.85,116.8,67.32,False,False,pure_bowler,4.0,4.0,8.0,1.0,50.0,tailender,42.0,22.0,487.0,1.909,6.36,death_bowler
Chengkam Sangma,Meghalaya,2021.0,11.84,69.51,40.68,False,False,pure_bowler,1.0,2.0,3.0,0.5,33.33,tailender,5.0,9.0,150.0,0.556,6.12,powerplay_bowler
Chetan Bist,Nagaland,2022.0,61.49,0.0,30.74,False,False,pure_batter,466.0,19.0,405.0,24.53,115.06,middle_order,,,,,,
Chinta Gandhi,Baroda,2022.0,33.57,64.28,48.92,False,False,pure_bowler,10.0,2.0,11.0,5.0,90.91,tailender,4.0,8.0,144.0,0.5,6.92,middle_overs_bowler
Chintan Gaja,Gujarat,2023.0,28.29,89.97,59.13,False,False,pure_bowler,43.0,8.0,57.0,5.38,75.44,tailender,24.0,20.0,395.0,1.2,7.44,powerplay_bowler
Chintapalli Kranthi Kumar,Andhra,2019.0,78.38,76.92,77.65,False,False,pure_bowler,99.0,3.0,74.0,33.0,133.78,middle_order,1.0,1.0,6.0,1.0,16.0,part_time_bowler
Chirag Gandhi,Gujarat,2023.0,57.76,0.0,28.88,False,False,pure_batter,735.0,35.0,615.0,21.0,119.51,finisher,,,,,,
Chirag Jani,Saurashtra,2024.0,59.88,72.76,66.32,True,True,batting_allrounder,422.0,24.0,311.0,17.58,135.69,finisher,28.0,36.0,737.0,0.778,7.62,middle_overs_bowler
Chirag Khurana,Meghalaya,2021.0,72.29,76.78,74.54,True,True,batting_allrounder,264.0,8.0,202.0,33.0,130.69,aggressive_opener,5.0,6.0,97.0,0.833,6.06,powerplay_bowler
Chirag Parmar,Gujarat,2017.0,9.1,40.17,24.64,False,False,pure_batter,1.0,1.0,4.0,1.0,25.0,middle_order,0.0,1.0,12.0,0.0,10.0,part_time_bowler
Chongtham Mehul,Manipur,2021.0,12.02,35.08,23.55,False,False,pure_batter,1.0,1.0,3.0,1.0,33.33,tailender,0.0,1.0,12.0,0.0,17.5,part_time_bowler
Chopise Hopongkyu,Nagaland,2022.0,0.0,74.56,37.28,False,False,pure_bowler,,,,,,,4.0,5.0,74.0,0.8,8.92,powerplay_bowler
Codanda Ajit Karthik,Sikkim,2021.0,54.69,92.7,73.69,False,False,utility_player,107.0,4.0,99.0,26.75,108.08,anchor_opener,5.0,4.0,90.0,1.25,6.13,death_bowler
D Chauhan,Saurashtra,2019.0,28.5,0.0,14.25,False,False,pure_batter,20.0,2.0,28.0,10.0,71.43,middle_order,,,,,,
