player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs,mid_runs,death_runs,pp_balls_faced,mid_balls_faced,death_balls_faced,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,balls_faced_per_match,sample_reliability_score,team,season_start_year,avg_position,median_position,highest_position,lowest_position,typical_position,position_role,batting_role,eligible_for_model,cluster_id,cluster_label,archetype_role,archetype_role_match_score
AD Chopra,113,3,68,12,5,3,37.67,76,9,0.0,0,0.0,34.53,1,1,0.333,0.333,166.18,0.25,0.074,0.176,0.69,0.294,51,41,21,33,28,7,0.451,0.363,0.186,154.55,146.43,300.0,death,,37.67,22.67,0.471,Mizoram,2023,2.0,2.0,2,2,2,opener,aggressive_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,100.0
AD Nath,700,34,578,62,17,24,20.59,80,0,0.294,2,0.059,18.87,10,2,0.294,0.059,121.11,0.137,0.029,0.107,0.5,0.355,173,405,122,144,344,90,0.247,0.579,0.174,120.14,117.73,135.56,death,21.43,19.23,17.0,1.0,Uttar Pradesh,2022,4.2,4.0,1,7,4,top_order,middle_order,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
AG Paunikar,82,7,66,8,3,4,11.71,23,1,0.429,0,0.0,8.26,0,0,0.0,0.0,124.24,0.167,0.045,0.121,0.61,0.379,0,35,47,0,31,35,0.0,0.427,0.573,,112.9,134.29,death,10.67,12.5,9.43,0.712,Railways,2018,5.714285714285714,6.0,3,7,6,middle_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
AH Hooda,2,4,10,0,0,3,0.5,2,0,0.25,2,0.5,1.0,0,0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.9,0,0,2,0,0,10,0.0,0.0,1.0,,,20.0,death,,0.5,2.5,0.292,Haryana,2018,10.4,11.0,9,11,11,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
AK Chahal,28,3,21,1,2,2,9.33,12,4,0.333,0,0.0,4.62,0,0,0.0,0.0,133.33,0.143,0.095,0.048,0.571,0.333,0,0,28,0,0,21,0.0,0.0,1.0,,,133.33,death,12.0,8.0,7.0,0.275,Haryana,2018,9.0,9.0,8,10,8,lower_order,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
AK Sarkar,8,4,9,0,1,3,2.0,6,0,0.25,2,0.5,2.83,0,0,0.0,0.0,88.89,0.111,0.111,0.0,0.75,0.667,0,0,8,0,0,9,0.0,0.0,1.0,,,88.89,death,6.0,0.67,2.25,0.288,Tripura,2023,9.25,9.0,9,10,9,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
AKS Bains,433,23,362,54,9,21,18.83,68,0,0.087,2,0.087,18.44,5,3,0.217,0.13,119.61,0.174,0.025,0.149,0.624,0.414,312,115,6,245,111,6,0.721,0.266,0.014,127.35,103.6,100.0,powerplay,25.08,12.0,15.74,1.0,Himachal,2022,1.9166666666666667,2.0,1,6,2,opener,aggressive_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,100.0
AL Menaria,232,15,208,27,5,15,15.47,67,0,0.0,2,0.133,19.52,2,2,0.133,0.133,111.54,0.154,0.024,0.13,0.595,0.433,121,91,20,97,94,17,0.522,0.392,0.086,124.74,96.81,117.65,powerplay,13.0,19.17,13.87,1.0,Rajasthan,2022,3.6,4.0,2,6,4,top_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
AM Nayar,135,6,95,11,6,3,22.5,49,0,0.5,1,0.167,18.75,2,0,0.333,0.0,142.11,0.179,0.063,0.116,0.593,0.295,0,44,91,0,45,50,0.0,0.326,0.674,,97.78,182.0,death,14.33,30.67,15.83,0.771,Mumbai,2015,5.0,5.0,4,6,5,middle_order,finisher,True,1,batting_tailender_cluster_1,tailender,0.0
AM Rahane,682,20,489,73,19,18,34.1,98,0,0.1,1,0.05,32.36,10,6,0.5,0.3,139.47,0.188,0.039,0.149,0.595,0.323,314,310,58,232,215,42,0.46,0.455,0.085,135.34,144.19,138.1,middle,32.62,40.0,24.45,1.0,Mumbai,2024,2.1,2.0,1,3,2,opener,aggressive_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,100.0
