player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,team,typical_position,avg_position,position_role,batting_role
Piyush Singh,50,5,65,4,1,5,10.0,21,0,0.0,1,0.2,9.14,0,0,0.0,0.0,76.92,0.077,0.015,0.062,0.44,0.554,0.82,0.18,0.0,78.85,69.23,,pp,5.0,13.33,Bihar,2,1.8,opener,anchor_opener
Piyush Tanwar,110,5,99,9,4,4,22.0,55,0,0.2,1,0.2,21.13,1,1,0.2,0.2,111.11,0.131,0.04,0.091,0.545,0.394,0.655,0.345,0.0,124.14,92.68,,pp,55.0,13.75,Gujarat,3,3.2,top_order,middle_order
Pradipta Pramanik,56,6,50,4,2,5,9.33,30,1,0.167,0,0.0,10.89,1,0,0.167,0.0,112.0,0.12,0.04,0.08,0.5,0.34,0.0,0.571,0.429,,128.0,96.0,mid,16.0,6.0,Bengal,8,7.714285714285714,lower_order,tailender
Pragnay Reddy,42,8,63,4,2,8,5.25,30,0,0.0,3,0.375,10.35,1,0,0.125,0.0,66.67,0.095,0.032,0.063,0.667,0.73,1.0,0.0,0.0,66.67,,,pp,1.0,7.8,Hyderabad (India),2,1.875,opener,anchor_opener
Pramod Chandila,206,13,179,23,5,11,15.85,70,1,0.154,0,0.0,18.99,2,1,0.154,0.077,115.08,0.156,0.028,0.128,0.592,0.447,0.053,0.583,0.364,91.67,115.38,119.05,death,22.0,12.0,Bengal,6,5.571428571428571,middle_order,middle_order
Pranshu Vijayran,42,5,32,2,3,4,8.4,34,1,0.2,0,0.0,14.42,1,0,0.2,0.0,131.25,0.156,0.094,0.062,0.619,0.469,0.0,0.952,0.048,,142.86,50.0,mid,34.0,2.0,Delhi,6,7.4,middle_order,middle_order
Prashant Awasthi,67,6,54,5,2,6,11.17,25,0,0.0,1,0.167,10.05,0,0,0.0,0.0,124.07,0.13,0.037,0.093,0.478,0.241,0.015,0.881,0.104,25.0,134.09,116.67,mid,11.33,11.0,Railways,3,3.6666666666666665,top_order,middle_order
Prashant Gupta,408,11,327,50,7,10,37.09,54,6,0.091,0,0.0,16.37,9,2,0.818,0.182,124.77,0.174,0.021,0.153,0.593,0.355,0.473,0.517,0.01,123.72,129.45,50.0,mid,35.0,46.5,Uttar Pradesh,1,1.5454545454545454,opener,aggressive_opener
Prashant Singh,41,5,42,3,1,4,8.2,12,5,0.2,0,0.0,3.11,0,0,0.0,0.0,97.62,0.095,0.024,0.071,0.439,0.429,0.0,0.0,1.0,,0.0,117.14,death,6.0,8.75,Bihar,9,8.4,tailender,tailender
Prashanth Kumar,281,19,274,22,9,17,14.79,57,0,0.105,1,0.053,15.48,3,1,0.158,0.053,102.55,0.113,0.033,0.08,0.505,0.438,0.253,0.562,0.185,69.61,108.22,200.0,death,4.25,17.6,Andhra,3,3.65,top_order,finisher
Pratham Singh,877,32,686,91,25,29,27.41,89,0,0.094,1,0.031,24.55,12,7,0.375,0.219,127.84,0.169,0.036,0.133,0.586,0.353,0.505,0.405,0.09,115.36,134.98,202.56,death,38.87,17.29,Railways,2,1.90625,opener,anchor_opener
Pratik Desai,66,4,52,4,4,4,16.5,27,2,0.0,0,0.0,12.56,0,0,0.0,0.0,126.92,0.154,0.077,0.077,0.606,0.462,0.939,0.061,0.0,140.91,50.0,,pp,,16.5,Mizoram,1,1.0,opener,aggressive_opener
Pratyush Singh,53,14,85,6,0,12,3.79,10,0,0.143,4,0.286,3.56,0,0,0.0,0.0,62.35,0.071,0.0,0.071,0.453,0.6,0.321,0.377,0.302,53.12,55.56,94.12,death,4.67,3.55,Tripura,4,4.714285714285714,top_order,middle_order
