player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_runs_conceded,mid_runs_conceded,death_runs_conceded,pp_balls_bowled,mid_balls_bowled,death_balls_bowled,pp_economy,mid_economy,death_economy,pp_workload_pct,mid_workload_pct,death_workload_pct,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,balls_bowled_per_match,sample_reliability_score,team,season_start_year,eligible_for_model
Prateek Jain,1,4,84,132,4,0,9.43,132.0,84.0,0.25,0.5,0,0.0,0.262,1.0,0.0,32,43,57,24,30,30,8.0,8.6,11.4,0.286,0.357,0.357,powerplay,death_bowler,0.0,0.5,21.0,0.6,Karnataka,2021,True
Prathamesh Dake,3,1,18,24,2,0,8.0,8.0,6.0,3.0,0.0,1,1.0,0.333,2.0,0.0,14,8,2,6,6,6,14.0,8.0,2.0,0.333,0.333,0.333,death,part_time_bowler,3.0,,18.0,0.138,Mumbai,2020,False
Pratik Desai,3,4,82,119,6,0,8.71,39.67,27.33,0.75,0.96,1,0.25,0.293,1.5,0.0,44,50,25,34,36,12,7.76,8.33,12.5,0.415,0.439,0.146,powerplay,powerplay_bowler,,0.75,20.5,0.592,Mizoram,2020,True
Pratik Sargade,4,6,132,135,0,0,6.14,33.75,33.0,0.667,0.82,1,0.167,0.402,0.0,0.0,60,75,0,66,66,0,5.45,6.82,,0.5,0.5,0.0,powerplay,powerplay_bowler,,0.67,22.0,0.875,Puducherry,2018,True
Pratyush Singh,2,8,91,118,0,0,7.78,59.0,45.5,0.25,0.46,0,0.0,0.22,0.0,0.0,0,83,35,0,74,17,,6.73,12.35,0.0,0.813,0.187,middle,middle_overs_bowler,0.5,0.17,11.38,0.879,Tripura,2021,True
Prayas Singh,5,7,84,98,3,0,7.0,19.6,16.8,0.714,1.11,1,0.143,0.345,0.429,0.0,21,77,0,18,66,0,7.0,7.0,,0.214,0.786,0.0,powerplay,middle_overs_bowler,1.25,0.0,12.0,0.788,Odisha,2021,True
Prince Yadav,3,2,42,66,0,0,9.43,22.0,14.0,1.5,2.12,1,0.5,0.381,0.0,0.0,6,45,15,6,24,12,6.0,11.25,7.5,0.143,0.571,0.286,powerplay,part_time_bowler,3.0,0.0,21.0,0.3,Delhi,2024,False
Pritam Das,19,21,420,581,11,6,8.3,30.58,22.11,0.905,1.09,7,0.333,0.331,0.524,0.286,249,78,254,210,60,150,7.11,7.8,10.16,0.5,0.143,0.357,powerplay,death_bowler,1.5,0.67,20.0,1.0,Assam,2021,True
Pritam Nirala,3,4,72,94,2,0,7.83,31.33,24.0,0.75,0.96,1,0.25,0.472,0.5,0.0,53,41,0,42,30,0,7.57,8.2,,0.583,0.417,0.0,powerplay,powerplay_bowler,,0.75,18.0,0.55,Sikkim,2019,True
Priyank Panchal,0,3,24,23,0,0,5.75,,,0.0,0.0,0,0.0,0.292,0.0,0.0,0,23,0,0,24,0,,5.75,,0.0,1.0,0.0,middle,part_time_bowler,0.0,0.0,8.0,0.288,Gujarat,2015,True
