player,avg_position,median_position,highest_position,lowest_position,typical_position,position_role
KB Panchal,7.5,7.5,7,8,7,lower_order
KB Pawan,3.75,4.0,3,5,4,top_order
KC Cariappa,8.875,9.0,7,11,7,lower_order
KD Karthik,3.869565217391304,4.0,2,6,4,top_order
KH Devdhar,1.0,1.0,1,1,1,opener
KH Pandya,3.892857142857143,4.0,3,5,4,top_order
KK Acharjee,5.857142857142857,5.0,4,8,5,middle_order
KK Ahmed,11.0,11.0,11,11,11,tailender
KK Nair,3.276595744680851,4.0,1,6,4,top_order
KL Nagarkoti,7.0,7.5,5,8,8,lower_order
KL Rahul,1.0,1.0,1,1,1,opener
KM Asif,10.333333333333334,10.0,10,11,10,tailender
KM Jadhav,3.260869565217391,3.0,3,7,3,top_order
KN Luitel,11.0,11.0,11,11,11,tailender
KP Kakad,7.0,7.0,7,7,7,lower_order
KR Kakade,7.625,8.0,4,9,9,tailender
KR Sen,9.75,11.0,6,11,11,tailender
KR Singh,5.916666666666667,6.0,4,7,6,middle_order
KS Bharat,2.6363636363636362,2.0,1,6,2,opener
KS Rathore,6.0,6.0,5,7,5,middle_order
KS Sharma,2.357142857142857,2.0,1,6,2,opener
KV Sharma,5.972222222222222,6.0,1,9,7,lower_order
Kaif Ahmad,4.375,5.0,1,5,5,middle_order
Kamal Das,11.0,11.0,11,11,11,tailender
Kamsha Yangfo,5.454545454545454,6.0,3,10,6,middle_order
Kangabam Singh,4.944444444444445,5.0,2,8,5,middle_order
Kanishk Seth,8.142857142857142,9.0,3,10,9,tailender
Kant Singh,11.0,11.0,11,11,11,tailender
Kanwar Abhinay,11.0,11.0,11,11,11,tailender
Karan Kaila,7.0,7.0,6,8,6,middle_order
Karan Lal,3.5,3.0,2,8,3,top_order
Karan Patel,6.166666666666667,6.5,4,8,4,top_order
Karan Shinde,5.285714285714286,4.0,4,7,4,top_order
Karanveer Kaushal,1.9375,2.0,1,4,2,opener
Karkir Taye,10.0,10.0,10,10,10,tailender
Karma Bhutia,4.0,3.0,2,7,2,opener
Karnajit Yumnam,2.2,1.5,1,5,1,opener
Karthik Raman,11.0,11.0,11,11,11,tailender
Kashyap Bakhale,9.0,9.0,7,11,7,lower_order
Kaushik Maity,9.0,9.0,9,9,9,tailender
Kengo Bam,9.0,9.0,9,9,9,tailender
Keshav Kumar,4.6,4.0,4,6,4,top_order
Khawlhring Lalremruata,5.0,5.0,3,7,5,middle_order
Khizer Dafedar,6.0,6.0,6,6,6,middle_order
Khrievitso Kense,11.0,11.0,11,11,11,tailender
Kilco R Marak,10.0,10.0,9,11,10,tailender
Kiran Reddy,7.0,7.0,7,7,7,lower_order
Kishan Lyngdoh,2.0,2.0,2,2,2,opener
Kishan Parmar M,2.375,2.0,2,3,2,opener
Kishan Thokchom,9.4,9.0,9,10,9,tailender
Kolla Sumanth,5.842105263157895,6.0,3,9,5,middle_order
Koripalli Sreekanth,2.0,2.0,1,3,2,opener
Kranthi Kumar,3.6666666666666665,3.0,3,5,3,top_order
Krishna Das,10.4,11.0,9,11,11,tailender
Krishnamoorthy Vignesh,9.0,9.0,9,9,9,tailender
Krishnamurthy Siddharth,3.0,3.0,3,3,3,top_order
Kruthik Hanagavadi,11.0,11.0,11,11,11,tailender
Kshitij Patel,3.5,3.5,3,4,3,top_order
Kshitiz Sharma,4.222222222222222,4.0,3,6,4,top_order
Kukna Ajay Singh,8.0,8.0,8,8,8,lower_order
Kuldeep Gehi,2.0,2.0,2,2,2,opener
Kuldeep Yadav,8.333333333333334,8.0,8,9,8,lower_order
Kumar Deobrat,4.25,5.0,1,7,5,middle_order
Kumar Kushagra,2.0,2.0,2,2,2,opener
Kumar Nyompu,3.25,2.5,2,6,2,opener
Kumar Rajnish,4.0,4.0,2,6,2,opener
Kumar Suraj,5.0,5.0,5,5,5,middle_order
Kunal Chandela,4.571428571428571,4.0,2,7,4,top_order
Kunal Dabas,2.0,2.0,2,2,2,opener
Kunal Mahajan,5.0,5.0,5,5,5,middle_order
Kunal Saikia,6.0,6.0,6,6,6,middle_order
Kunwar Bidhuri,2.6666666666666665,2.0,2,4,2,opener
L Jhon,8.0,8.0,8,8,8,lower_order
L Kishan Singha,7.875,8.0,7,8,8,lower_order
L Thareja,7.0,7.0,7,7,7,lower_order
LI Meriwala,10.75,11.0,10,11,11,tailender
LR Chethan,4.0,4.0,4,4,4,top_order
LUVNITH SISODIA,4.25,4.0,2,7,2,opener
Lagnajit Samal,9.0,9.0,8,10,8,lower_order
Lakhan Singh,1.5,1.0,1,3,1,opener
Lakshay Garg,7.521739130434782,8.0,3,11,8,lower_order
Lalchhuanliana,5.0,6.0,3,6,6,middle_order
Lalfakzuala Renthlei,11.0,11.0,11,11,11,tailender
Lalhma Chhuana,5.0,5.0,5,5,5,middle_order
Lalhmangaiha,2.45,2.0,1,5,2,opener
Lalhriatrenga,7.0,8.0,5,8,8,lower_order
Lalhruai Ralte,7.428571428571429,7.5,5,10,7,lower_order
Lalhruaizela,3.2083333333333335,3.5,1,5,4,top_order
Lalit Yadav,6.107142857142857,6.0,4,7,7,lower_order
Lalnunkima Varte,10.5,10.5,10,11,10,tailender
Lalrempuia,8.5,8.5,7,10,7,lower_order
Lamabam Singh,10.5,10.5,10,11,10,tailender
Langlonyamba Meitan Keishangbam,4.2,4.0,3,6,3,top_order
Larry Sangma,5.25,5.5,3,8,3,top_order
Lavin Coster,7.666666666666667,8.0,7,8,8,lower_order
Lee Yong Lepcha,6.166666666666667,6.0,3,8,6,middle_order
Lekhaz Reddy,6.25,6.0,5,8,6,middle_order
Licha Tehi,11.0,11.0,11,11,11,tailender
Liyan Khan,2.0,2.0,2,2,2,opener
Logesh Prabagaran,3.0,3.0,3,3,3,top_order
Lone Nasir Muzaffar,6.0,6.0,6,6,6,middle_order
M Ahmed,5.0,5.0,4,6,5,middle_order
M Ashwin,7.833333333333333,8.0,3,10,8,lower_order
M Dheeraj Kumar,5.857142857142857,6.0,4,7,6,middle_order
M Manhas,4.666666666666667,5.0,3,6,5,middle_order
M Markande,9.222222222222221,9.0,8,11,8,lower_order
M Mohammed,6.722222222222222,7.0,3,10,7,lower_order
M Pranith,2.0,2.0,2,2,2,opener
M Prasidh Krishna,11.0,11.0,11,11,11,tailender
M Rawat,4.428571428571429,4.0,4,5,4,top_order
M Shahrukh Khan,4.708333333333333,5.0,1,7,5,middle_order
M Siddharth,8.0,8.0,8,8,8,lower_order
M Vijay,1.1111111111111112,1.0,1,2,1,opener
M Vohra,1.1,1.0,1,3,1,opener
MA Agarwal,1.9714285714285715,2.0,1,5,2,opener
MA Sharma,1.0,1.0,1,1,1,opener
MC Juneja,3.111111111111111,3.0,3,4,3,top_order
MD Ingale,9.5,9.5,9,10,9,tailender
MD Nidheesh,9.333333333333334,9.0,9,10,9,tailender
MD Rahmatullah,4.6923076923076925,5.0,4,6,5,middle_order
MG Sirur,7.375,8.5,3,10,9,tailender
MK Lomror,3.967741935483871,4.0,2,6,4,top_order
MK Mahale,7.0,7.0,7,7,7,lower_order
MK Pandey,3.5294117647058822,3.5,1,5,3,top_order
MK Tiwary,3.8518518518518516,4.0,3,6,4,top_order
MM Sharma,9.0,9.0,9,9,9,tailender
MN Singh,1.1176470588235294,1.0,1,2,1,opener
MR Raut,6.0,6.0,5,7,5,middle_order
MR Shylla,3.0,3.0,3,3,3,top_order
MS Akhil,6.0,6.0,6,6,6,middle_order
MS Bhandage,6.4,6.0,6,7,6,middle_order
MS Gony,7.7,8.0,6,9,8,lower_order
MS Hooda,3.75,3.0,3,6,3,top_order
MS Redkar,8.0,8.0,8,8,8,lower_order
MSR Charan,3.0,3.0,3,3,3,top_order
MSS Hussain,9.0,9.0,9,9,9,tailender
MV Pithiya,9.0,9.0,9,9,9,tailender
Madhav Avsh,6.0,6.0,6,6,6,middle_order
Madhav Kaushik,1.5,1.5,1,2,1,opener
Manan Sharma,8.5,8.5,8,9,8,lower_order
Mandeep Singh,3.6315789473684212,3.0,1,7,3,top_order
Mandup Bhutia,7.444444444444445,8.0,5,9,8,lower_order
Mangal Mahrour,1.9411764705882353,1.0,1,5,1,opener
Manik Beri,3.0,3.0,3,3,3,top_order
Manik Gupta,10.0,10.0,9,11,9,tailender
Manisankar Murasingh,5.84375,6.0,3,9,6,middle_order
Manish Dogra,5.0,5.0,5,5,5,middle_order
Manish Golamaru,6.4,7.0,3,9,7,lower_order
Manjeet Singh,9.5,9.5,9,10,9,tailender
Manjinder Singh,5.0,5.0,5,5,5,middle_order
Manjot Kalra,1.0,1.0,1,1,1,opener
Manogaran Pooviarasan,9.0,9.0,9,9,9,tailender
Manoj Singh,6.0,6.0,5,7,6,middle_order
Manvan Patel,9.5,9.5,8,11,8,lower_order
Manzoor Dar,5.181818181818182,5.0,3,7,7,lower_order
Marimuthu Vikneshwaran,5.666666666666667,6.0,1,8,5,middle_order
Mark Ingty,6.333333333333333,6.0,6,7,6,middle_order
Mayank Dagar,9.333333333333334,9.0,8,10,9,tailender
Mayank Mishra,8.444444444444445,8.0,8,9,8,lower_order
Mayank Raghav,1.0,1.0,1,1,1,opener
Mayank Rawat,6.0,6.0,6,6,6,middle_order
Mayank Sidhana,4.6,5.0,4,5,5,middle_order
Md Nazim,8.0,8.0,8,8,8,lower_order
Md Saptula,10.333333333333334,11.0,9,11,11,tailender
Mehdi Hassan,9.375,9.0,8,11,9,tailender
Mickil Jaiswal,5.666666666666667,6.0,5,6,6,middle_order
Mihir Hirwani,9.125,9.5,8,10,10,tailender
Milind Kumar,4.615384615384615,4.5,2,6,6,middle_order
Mitesh Patel,3.5,2.0,2,9,2,opener
Moakumzuk Tzudir,10.0,11.0,8,11,11,tailender
Mohammad Saif,3.2,3.0,3,4,3,top_order
Mohammed Azharuddeen,3.259259259259259,2.0,1,7,2,opener
Mohammed Mudhasir,9.428571428571429,10.0,6,11,10,tailender
Mohammed Shami,9.0,9.0,8,10,8,lower_order
Mohammed Siraj,10.166666666666666,10.0,10,11,10,tailender
Mohammed Taha,1.0,1.0,1,1,1,opener
Mohd Israr,9.0,9.0,9,9,9,tailender
Mohit Ahlawat,5.166666666666667,5.5,3,6,6,middle_order
Mohit Jangra,7.0,6.5,4,11,4,top_order
Mohit Kumar,8.2,8.0,8,9,8,lower_order
Mohit Mittan,5.333333333333333,5.0,5,6,5,middle_order
Mohit Mongia,3.3333333333333335,2.0,2,6,2,opener
Mohsin Khan,8.8,9.0,7,10,10,tailender
Monu Kumar,9.11111111111111,9.0,8,11,8,lower_order
Mrinmoy Dutta,10.5,10.5,10,11,10,tailender
Mrunal Devdhar,1.2647058823529411,1.0,1,2,1,opener
Mughavi Wotsa,6.666666666666667,8.0,2,10,2,opener
Mujtaba Yousuf,10.0,10.0,10,10,10,tailender
Mukesh Choudhary,10.0,10.0,10,10,10,tailender
Mukesh Kumar,10.5,10.5,10,11,10,tailender
Mukhtar Hussain,9.5,9.5,8,11,9,tailender
Myendung Singpho,7.285714285714286,8.0,3,10,6,middle_order
N A Sharma,6.0,7.0,3,8,7,lower_order
N Jagadeesan,3.5,2.0,1,7,2,opener
N Joshi,9.0,9.0,9,9,9,tailender
N Kushwah,4.5,4.5,3,6,3,top_order
N Rana,4.086956521739131,4.0,3,5,4,top_order
N Saini,2.6666666666666665,4.0,1,4,4,top_order
N Sindhu,4.5,4.5,4,5,4,top_order
N Wadhera,4.75,5.0,3,6,5,middle_order
NA Rathva,4.666666666666667,5.0,2,8,2,opener
NB Singh,10.666666666666666,11.0,10,11,11,tailender
NK Singh,5.0,6.0,2,7,2,opener
NN Bhute,9.0,9.0,9,9,9,tailender
NN Sen,7.857142857142857,8.0,6,10,7,lower_order
NN Sen Chowdhary,3.8333333333333335,3.5,1,8,3,top_order
NR Narah,3.6666666666666665,5.0,1,5,5,middle_order
NS Chaturved,4.75,5.0,1,8,1,opener
NS Naik,5.5,5.5,4,7,5,middle_order
NS Rathour,5.0,5.0,5,5,5,middle_order
NS Sharma,7.0,7.0,7,7,7,lower_order
NV Ojha,1.8095238095238095,1.0,1,4,1,opener
Nabam Tatang,6.0,6.0,6,6,6,middle_order
Nabam Tempol,8.5,8.5,8,9,8,lower_order
Nagaho Chishi,8.0,8.0,5,10,8,lower_order
Nakul Sharma,5.636363636363637,6.0,3,7,6,middle_order
Nakul Verma,1.75,1.0,1,6,1,opener
Nalin Mishra,2.0,2.0,2,2,2,opener
Naman Dhir,3.0,3.0,3,3,3,top_order
Naren Reddy,6.0,6.0,6,6,6,middle_order
Narsingh Yadav,2.6875,2.5,1,7,1,opener
Naushad Shaikh,3.9375,4.0,2,6,4,top_order
Navdeep Saini,10.0,10.0,10,10,10,tailender
Navneet Virk,4.0,4.0,4,4,4,top_order
Nawazul Munier,8.0,8.0,8,8,8,lower_order
Nazeeb Saiyed,4.428571428571429,5.0,3,6,5,middle_order
Nazim Siddiqui,4.2,5.0,2,7,2,opener
Neelam Obi,2.909090909090909,3.0,1,6,1,opener
Neelambuj Vats,8.5,9.0,7,9,9,tailender
Neetesh Sharma,6.0,6.0,6,6,6,middle_order
Ngangom Rajesh Singh,6.5,6.5,6,7,6,middle_order
Nihal Surlaker,10.0,10.0,10,10,10,tailender
Nikhil Chaudhary,6.25,6.0,5,8,6,middle_order
Nikhil Gangta,5.0,5.0,4,7,4,top_order
Nikhil Kohli,10.5,10.5,10,11,10,tailender
Nikhilesh Surendran,4.666666666666667,4.0,1,9,1,opener
Nilesh Lamichaney,3.090909090909091,2.0,1,8,1,opener
Ninad Kadam,6.25,7.0,4,7,7,lower_order
Nipan Deka,6.5,6.5,5,8,5,middle_order
Nishunk Birla,11.0,11.0,11,11,11,tailender
Nitesh Lohchab,2.3333333333333335,3.0,1,3,3,top_order
Nitesh Sedai,3.823529411764706,4.0,1,7,2,opener
Nithish Kumar Reddy,3.0,3.0,3,3,3,top_order
Nitin Tanwar,7.571428571428571,8.0,7,8,8,lower_order
Nitin Yadav,11.0,11.0,11,11,11,tailender
Nitish Rao,10.0,10.0,10,10,10,tailender
Niyas Nizar,10.0,10.0,10,10,10,tailender
Nongthombam Denin,9.0,9.0,9,9,9,tailender
Nzanthung Mozhui,4.5,4.5,1,8,1,opener
OA Shah,5.0,5.0,5,5,5,middle_order
Oren Ngullie,5.5,5.5,1,10,1,opener
P Awana,11.0,11.0,11,11,11,tailender
P Chopra,1.6470588235294117,2.0,1,3,2,opener
P Dogra,4.032258064516129,4.0,3,6,4,top_order
P Dubey,7.076923076923077,7.0,5,9,6,middle_order
P Kumar,8.25,8.0,8,9,8,lower_order
P Negi,7.277777777777778,7.0,6,8,7,lower_order
P Nitesh Reddy,2.0,2.0,2,2,2,opener
P Prafullomani,2.6666666666666665,2.0,1,9,1,opener
P Prasanth,7.3,7.0,6,9,7,lower_order
P Ray Barman,8.5,8.5,8,9,8,lower_order
P Saravana Kumar,10.0,10.0,10,10,10,tailender
P Simran Singh,2.1142857142857143,2.0,1,7,2,opener
P Suyal,10.5,10.5,10,11,10,tailender
P Thamaraikannan,7.428571428571429,7.0,6,9,7,lower_order
PA Dahiya,6.0,6.0,6,6,6,middle_order
PA Patel,1.0666666666666667,1.0,1,2,1,opener
PA Reddy,2.25,2.0,1,4,2,opener
PB Mehta,7.0,7.0,7,7,7,lower_order
PJ Bhati,5.714285714285714,5.0,5,8,5,middle_order
PJ Sangwan,6.875,8.0,3,9,8,lower_order
PK Garg,3.9411764705882355,4.0,2,6,4,top_order
PN Mankad,4.9655172413793105,5.0,3,7,4,top_order
PP Chawla,6.827586206896552,7.0,3,10,7,lower_order
PP Ojha,9.5,9.5,9,10,9,tailender
PP Shaw,1.04,1.0,1,2,1,opener
PR Rekhade,3.0,3.0,3,3,3,top_order
PR Shah,7.75,8.0,7,8,8,lower_order
PR Veer,7.0,7.0,7,7,7,lower_order
PR Yadav,3.3333333333333335,3.0,3,4,3,top_order
PS Kataria,9.5,9.5,9,10,9,tailender
PS Kumar,4.0,4.0,4,4,4,top_order
PS Sairam,8.0,8.0,8,8,8,lower_order
PV Tambe,11.0,11.0,11,11,11,tailender
Padam Limboo,9.0,9.0,8,10,8,lower_order
Pallav Kumar Das,1.6129032258064515,1.0,1,7,1,opener
Palzor Tamang,5.722222222222222,5.0,5,8,5,middle_order
Pankaj Jaswal,7.238095238095238,7.0,4,11,7,lower_order
Pankaj Kumar,7.0,7.0,7,7,7,lower_order
Pankaj Rao,11.0,11.0,11,11,11,tailender
Pankaj Shaw,4.8,5.0,4,6,4,top_order
Pankaj Singh,9.2,10.0,7,10,10,tailender
Pappu Roy,10.714285714285714,11.0,10,11,11,tailender
Parameeswaran Sivaraman,4.0,4.0,4,4,4,top_order
Paras Sehrawat,5.25,5.0,4,7,4,top_order
Pardeep Yadav,6.0,6.0,6,6,6,middle_order
Paresh Patel,5.0,5.0,3,7,3,top_order
Pargat Singh,1.8333333333333333,2.0,1,2,2,opener
Parikshit Valsangkar,8.0,8.0,8,8,8,lower_order
Parivesh Dhar,10.0,10.0,10,10,10,tailender
Parth Chauhan,5.833333333333333,5.5,4,8,5,middle_order
Parth Kohli,5.666666666666667,6.0,5,6,6,middle_order
Parth Sahani,4.794117647058823,5.0,3,7,4,top_order
Parvez Ahmed,6.928571428571429,7.0,5,9,7,lower_order
Parvez Aziz,6.333333333333333,6.0,5,8,5,middle_order
Parvez Rasool,4.95,5.0,4,6,5,middle_order
Pavan Deshpande,4.833333333333333,5.0,4,6,5,middle_order
Pinninit Tapaswi,6.5,6.5,5,8,5,middle_order
Piyush Joshi,2.5,2.5,2,3,2,opener
Piyush Singh,1.8,2.0,1,2,2,opener
Piyush Tanwar,3.2,3.0,3,4,3,top_order
Ponnan Rahul,4.5,4.5,3,6,3,top_order
Prabesh Gurung,9.5,9.5,9,10,9,tailender
Prabin Luha,7.0,7.0,7,7,7,lower_order
Pradeep Chamoli,10.5,10.5,10,11,10,tailender
Pradeep Dadhe,11.0,11.0,11,11,11,tailender
Pradipta Pramanik,7.714285714285714,8.0,6,10,8,lower_order
Pragnay Reddy,1.875,2.0,1,3,2,opener
Pramod Chandila,5.571428571428571,6.0,4,8,6,middle_order
Pranav Gupta,3.0,3.0,3,3,3,top_order
Pranshu Vijayran,7.4,8.0,6,9,6,middle_order
Prashant Awasthi,3.6666666666666665,3.5,3,5,3,top_order
Prashant Gupta,1.5454545454545454,1.0,1,3,1,opener
Prashant Singh,8.4,9.0,7,9,9,tailender
Prashanth Kumar,3.65,3.0,1,6,3,top_order
Pratham Singh,1.90625,2.0,1,2,2,opener
Prathamesh Gawas,1.0,1.0,1,1,1,opener
Pratik Das,5.5,5.5,4,7,4,top_order
Pratik Desai,1.0,1.0,1,1,1,opener
Pratik Salunke,6.5,6.5,5,8,5,middle_order
Pratik Sargade,10.0,10.0,10,10,10,tailender
Pratyush Singh,4.714285714285714,4.0,3,7,4,top_order
Praveen Deshetti,2.0,2.0,2,2,2,opener
Prayas Singh,6.857142857142857,7.0,6,8,6,middle_order
Premraj Rajavelu,7.0,7.0,6,8,6,middle_order
Pritam Das,9.222222222222221,10.0,7,10,10,tailender
Pritam Debnath,3.5,3.5,2,5,2,opener
Pritam Nirala,10.0,11.0,7,11,11,tailender
Priyank Panchal,1.7222222222222223,2.0,1,2,2,opener
Priyansh Arya,1.0,1.0,1,1,1,opener
Priyesh Patel,2.25,2.5,1,3,3,top_order
Pukhraj Mann,6.0,6.0,5,7,5,middle_order
Pulkit Narang,9.0,9.0,9,9,9,tailender
Puneet Datey,8.6,9.0,8,9,9,tailender
Puneet Kumar,6.0,6.0,6,6,6,middle_order
Puneet Malik,6.0,6.0,6,6,6,middle_order
Punit Bisht,2.9,3.0,2,4,3,top_order
Qamran Iqbal,1.625,2.0,1,2,2,opener
R Ahir,7.0,7.0,7,7,7,lower_order
R Ashwin,6.666666666666667,7.0,4,8,7,lower_order
R Bhatia,2.7,1.0,1,6,1,opener
R Bishnoi,4.681818181818182,5.0,1,7,6,middle_order
R Dhawan,5.56,5.0,4,8,5,middle_order
R Parag,4.0,4.0,3,5,4,top_order
R Pratap Singh,6.0,6.0,6,6,6,middle_order
R Ralte,11.0,11.0,11,11,11,tailender
R Rohit,10.0,10.0,9,11,9,tailender
R Sai Kishore,7.25,8.5,3,10,9,tailender
R Sanjay Yadav,5.043478260869565,5.0,3,8,5,middle_order
R Sathish,6.5,6.5,6,7,6,middle_order
R Shukla,9.8,10.0,8,11,11,tailender
R Tewatia,5.733333333333333,6.0,1,7,6,middle_order
R Vinay Kumar,7.166666666666667,7.0,4,10,7,lower_order
RA Bawa,5.0,5.0,5,5,5,middle_order
RA Patil,2.0,2.0,2,2,2,opener
RA Tripathi,3.1379310344827585,2.0,2,8,2,opener
RB Bishnoi Jr,7.2,7.0,6,8,7,lower_order
RD Banik,2.6,3.0,2,3,3,top_order
RD Chahar,8.545454545454545,9.0,8,9,9,tailender
RD Gaikwad,1.1764705882352942,1.0,1,3,1,opener
RG Hazarika,2.0,2.0,2,2,2,opener
RG More,10.333333333333334,10.0,10,11,10,tailender
RH Bhatt,4.0,4.0,3,5,4,top_order
RH Motwani,2.75,3.0,2,3,3,top_order
RI Thakur,2.0,1.0,1,4,1,opener
RK Bhui,3.8214285714285716,4.0,3,5,3,top_order
RK Singh,4.771428571428571,5.0,1,6,5,middle_order
RL Jangid,5.631578947368421,6.0,4,8,4,top_order
RM Dagar,6.0,6.0,5,7,5,middle_order
RM Patidar,2.8823529411764706,3.0,1,5,3,top_order
RN Gurbani,8.833333333333334,9.0,8,9,9,tailender
RP Sharma,5.666666666666667,5.0,3,9,5,middle_order
RP Singh,9.0,9.0,9,9,9,tailender
RR Biswa,1.0,1.0,1,1,1,opener
RR Pant,1.625,2.0,1,2,2,opener
RR Raje,8.0,8.0,7,9,7,lower_order
RR Rathod,5.545454545454546,6.0,4,7,6,middle_order
RR Singh,4.25,3.0,3,8,3,top_order
RR Taylor,7.0,7.0,6,8,6,middle_order
RS Hangargekar,10.5,10.5,10,11,10,tailender
RS Jaganath Sinivas,6.0,6.0,6,6,6,middle_order
RS Khaira,4.0,4.0,4,4,4,top_order
RT Arothe,8.428571428571429,9.0,3,10,10,tailender
RV Gomez,6.1,6.0,5,7,6,middle_order
RV Patel,5.764705882352941,6.0,3,7,6,middle_order
RV Uthappa,2.793103448275862,3.0,1,7,1,opener
Rachit Bhatia,10.0,10.0,10,10,10,tailender
Raghav Dhawan,2.3333333333333335,2.0,1,4,1,opener
Raghu Sharma,11.0,11.0,11,11,11,tailender
Rahil Shah,10.0,10.0,9,11,10,tailender
Rahul Batham,7.5,7.5,7,8,7,lower_order
Rahul Buddhi,5.4375,6.0,1,7,6,middle_order
Rahul Dalal,3.8181818181818183,4.0,3,5,4,top_order
Rahul Khajan Singh,9.666666666666666,10.0,8,11,8,lower_order
Rahul Kumar,11.0,11.0,11,11,11,tailender
Rahul Singh,3.375,3.0,1,6,3,top_order
Rajashekhar Harikant,5.3,6.0,2,9,2,opener
Rajat Dey,4.904761904761905,5.0,3,7,4,top_order
Rajat Paliwal,4.185185185185185,4.0,3,6,4,top_order
Rajdeep Das,2.5,2.5,2,3,2,opener
Rajendran Vivek,5.4,6.0,3,9,3,top_order
Rajesh Dhuper,2.526315789473684,2.0,1,6,1,opener
Rajesh Mohanty,9.142857142857142,9.0,8,10,9,tailender
Rajesh Singh,4.666666666666667,5.0,3,6,5,middle_order
Rajesh Tati,2.0,2.0,2,2,2,opener
Rajiv Darjee,9.5,9.5,9,10,9,tailender
Rajjakuddin Ahmed,6.2,7.0,3,8,7,lower_order
Rakesh Kumar,8.5,8.5,8,9,8,lower_order
Rakesh Thakur,5.222222222222222,6.0,1,6,6,middle_order
Rakshan Readdi,11.0,11.0,11,11,11,tailender
Ram Dayal,8.833333333333334,8.5,8,10,8,lower_order
Ram Gurung,10.5,10.5,10,11,10,tailender
Ramachandran Ragupathy,1.4,1.0,1,2,1,opener
Ramandeep Singh,5.733333333333333,5.0,3,8,5,middle_order
Rana Dutta,8.625,8.5,7,10,10,tailender
Ranjeet Mali,10.5,10.5,10,11,10,tailender
Ranjeet Nikam,5.666666666666667,6.0,4,6,6,middle_order
Rasikh Salam,10.0,10.0,9,11,9,tailender
Raushan Raj,9.666666666666666,9.0,9,11,9,tailender
Ravi Bishnoi,8.571428571428571,9.0,5,11,9,tailender
Ravi Chauhan,1.8695652173913044,2.0,1,2,2,opener
Ravi Kiran,10.2,10.0,9,11,10,tailender
Ravi Teja,6.176470588235294,7.0,3,8,7,lower_order
Ravikumar Samarth,2.7777777777777777,3.0,1,4,3,top_order
Ravikumar Thakur,10.5,10.5,10,11,10,tailender
Reagan Pinto,4.0,4.0,3,5,3,top_order
Remruatdika Ralte,10.25,10.0,10,11,10,tailender
Reuben Lalhruaizela,5.0,5.0,5,5,5,middle_order
Rex Rajkumar,6.466666666666667,6.0,5,9,6,middle_order
Rinzing Bhutia,11.0,11.0,11,11,11,tailender
Rishabh Chouhan,5.625,5.5,3,9,7,lower_order
Rishabh Tiwari,1.4285714285714286,1.0,1,3,1,opener
Rishav,4.0,4.0,4,4,4,top_order
Rishav Das,2.2941176470588234,2.0,1,7,1,opener
Rishikesh Das,1.0,1.0,1,1,1,opener
Ritesh Negi,8.0,8.0,7,9,7,lower_order
Ritwik Roy Chowdhury,5.352941176470588,6.0,1,7,6,middle_order
Robin Bist,3.5833333333333335,3.0,3,5,3,top_order
Rohan Kadam,1.64,1.0,1,5,1,opener
Rohan Kunnummal,1.5384615384615385,1.0,1,3,1,opener
Rohan Prem,3.2,3.0,3,6,3,top_order
Rohan Suresh,11.0,11.0,11,11,11,tailender
Rohit Dahiya,6.375,7.0,3,8,7,lower_order
Rohit Dangwal,11.0,11.0,11,11,11,tailender
Rohit Dhruw,8.0,8.0,8,8,8,lower_order
Rohit Jhanjhariya,1.0,1.0,1,1,1,opener
Rohit Rayudu,3.7142857142857144,4.0,2,6,2,opener
Rohit Shah,2.6,3.0,1,4,1,opener
Rohit Sharma,11.0,11.0,11,11,11,tailender
Rojith Ganesh,5.666666666666667,7.0,3,7,7,lower_order
Romario Sharma,6.0,6.0,5,7,5,middle_order
Rongsen Jonathan,2.8095238095238093,3.0,1,5,3,top_order
Roosh Kalaria,8.285714285714286,8.0,6,10,8,lower_order
Rosan Kumar Rao,5.333333333333333,6.0,3,7,3,top_order
Roshan Alam,9.5,9.5,9,10,9,tailender
S Anirudha,5.5,7.0,2,8,7,lower_order
S Aravind,10.6,11.0,10,11,11,tailender
S Arora,3.0,3.0,3,3,3,top_order
S Dhawan,1.25,1.0,1,2,1,opener
S Dube,5.628571428571429,6.0,3,8,5,middle_order
S Gani,4.181818181818182,4.0,3,6,4,top_order
S Ghadigaonkar,3.0,3.0,3,3,3,top_order
S Gopal,7.625,8.0,6,9,8,lower_order
S Habib Gandhi,4.5,4.5,4,5,4,top_order
S Hegde,9.0,9.0,9,9,9,tailender
S Karthik,2.1,1.0,1,6,1,opener
S Kaul,9.714285714285714,10.0,9,10,10,tailender
S Midhun,8.5,8.5,7,10,8,lower_order
S Mylliempdah,3.0,3.0,2,4,2,opener
S Nadeem,7.625,8.0,3,9,8,lower_order
S Sanandia,8.166666666666666,8.0,7,9,8,lower_order
S Sandeep Warrier,11.0,11.0,11,11,11,tailender
S Solanki,3.5,3.5,3,4,3,top_order
SA Asnodkar,1.9,2.0,1,2,2,opener
SA Yadav,4.3,4.0,3,7,4,top_order
SB Dubey,4.5,4.0,3,6,4,top_order
SB Jakati,7.857142857142857,8.0,7,9,7,lower_order
SB Wagh,8.615384615384615,8.0,7,11,8,lower_order
SC Das,7.0,7.0,6,8,6,middle_order
SD Chitnis,6.0,6.0,6,6,6,middle_order
SD Lad,4.25,4.0,2,6,4,top_order
SF Khan,4.181818181818182,3.0,3,6,3,top_order
