player,avg_position,median_position,highest_position,lowest_position,typical_position,position_role
Debasish Samantray,4.5,4.5,4,5,4,top_order
Deendyal Upadhyay,9.0,9.0,9,9,9,tailender
Deepak Behera,9.0,9.0,8,10,8,lower_order
Deepak Punia,6.428571428571429,6.0,5,9,6,middle_order
Deepraj Gaonkar,6.2631578947368425,7.0,2,9,7,lower_order
Denish Das,2.466666666666667,2.0,1,7,2,opener
Dev Lakra,8.0,8.0,8,8,8,lower_order
Devender Lohchab,4.25,4.0,2,7,2,opener
Dharmendrasinh Jadeja,7.357142857142857,8.5,3,11,9,tailender
Dhavanath,7.0,7.0,7,7,7,lower_order
Dhrumil Matkar,10.0,10.0,10,10,10,tailender
Dhrushant Soni,7.6,8.0,5,9,9,tailender
Dhruv Jurel,5.2,6.0,2,6,6,middle_order
Dhruv Patel,5.285714285714286,3.0,1,9,3,top_order
Dhruv Raval,1.8235294117647058,2.0,1,3,1,opener
Digvijay Rangi,6.833333333333333,6.5,6,9,6,middle_order
Dikshanshu Negi,4.705882352941177,5.0,1,8,4,top_order
Dinesh Mor,5.222222222222222,4.0,4,9,4,top_order
Dinesh Rai,6.666666666666667,7.0,6,7,7,lower_order
Dipayan Debbarma,5.0,4.0,4,7,4,top_order
Dippu Sangma,5.75,5.5,3,9,3,top_order
Divyang Hinganekar,7.0,7.0,5,8,7,lower_order
Diwesh Pathania,8.066666666666666,8.0,7,9,9,tailender
EC Sen,4.888888888888889,4.0,3,9,4,top_order
ER Dwivedi,3.909090909090909,4.0,2,6,4,top_order
Eknath Kerkar,4.3125,4.0,1,8,1,opener
Erik Roy,6.5,6.5,6,7,6,middle_order
Eshaan Ravi,1.0,1.0,1,1,1,opener
F Lalmuanzuala,7.75,8.0,7,8,8,lower_order
FY Fazal,1.9047619047619047,2.0,1,4,1,opener
Fabid Ahmed,5.913043478260869,6.0,2,9,6,middle_order
Faiz Ahmed,6.666666666666667,5.0,5,10,5,middle_order
Faruque Hussain,11.0,11.0,11,11,11,tailender
Fazil Rashid,6.5,6.0,4,10,4,top_order
Felix Alemao,9.8,10.0,9,10,10,tailender
G Ajitesh,3.3333333333333335,1.0,1,8,1,opener
G Gambhir,1.6923076923076923,2.0,1,2,2,opener
G Lalbiakvela,9.0,9.0,7,10,10,tailender
GA Singh,2.3333333333333335,2.0,2,4,2,opener
GH Vihari,2.4,2.0,1,4,3,top_order
GS Raju,3.0,3.0,3,3,3,top_order
Gagandeep Singh,7.5,7.5,7,8,7,lower_order
Gandhar Bhatawadekar,3.0,3.0,3,3,3,top_order
Ganesh Satish,3.6666666666666665,3.0,2,7,3,top_order
Gaurav,11.0,11.0,11,11,11,tailender
Gaurav Gambhir,9.0,9.0,9,9,9,tailender
Gaurav Puri,4.333333333333333,4.5,3,5,5,middle_order
Gaurav Yadav,10.0,10.0,10,10,10,tailender
Gemson Singh,2.0,2.0,2,2,2,opener
Girinath Reddy,6.428571428571429,6.5,4,9,7,lower_order
Girish Rauturi,6.571428571428571,7.0,5,8,7,lower_order
Gitansh Khera,5.0,5.0,3,7,3,top_order
Gokul Sharma,3.5,3.5,3,4,3,top_order
Gourav Choudhury,1.0,1.0,1,1,1,opener
Govinda Poddar,3.210526315789474,4.0,1,5,4,top_order
Gurinder Singh,6.2,6.0,4,8,5,middle_order
Gurkeerat Singh,4.172413793103448,4.0,3,6,4,top_order
H Desai,1.1428571428571428,1.0,1,2,1,opener
HH Khadiwale,1.3333333333333333,1.0,1,2,1,opener
HH Pandya,3.3636363636363638,3.0,3,6,3,top_order
HP Gawli,2.0,2.0,2,2,2,opener
HP Patel,10.8,11.0,10,11,11,tailender
HS Desai,1.25,1.0,1,2,1,opener
HS Joshi,3.0,3.0,3,3,3,top_order
HV Patel,1.8888888888888888,2.0,1,7,2,opener
Harbhajan Singh,5.7,6.0,3,9,3,top_order
Hardeep Singh,4.0,4.0,4,4,4,top_order
Hardik Tamore,5.5,5.5,2,9,2,opener
Hari Nishaanth,1.4074074074074074,1.0,1,2,1,opener
Harishankar Reddy,8.88888888888889,9.0,6,10,10,tailender
Harmeet Singh,6.75,7.0,5,8,7,lower_order
Harpreet Brar,7.4,7.0,5,9,7,lower_order
Harpreet Singh,3.342857142857143,3.0,1,6,3,top_order
Harsh Tyagi,7.428571428571429,7.0,6,10,8,lower_order
Harsh Vikram Singh,8.25,8.5,7,9,9,tailender
Harshit Bisht,1.5,1.5,1,2,1,opener
Harshit Rathod,9.0,9.0,9,9,9,tailender
Hem Chetri,6.2,6.0,5,7,6,middle_order
Hemang Patel,7.625,7.5,6,9,7,lower_order
Henan Nazir,4.0,3.0,3,7,3,top_order
Henry Renthlei,6.0,6.0,6,6,6,middle_order
Heramb Parab,8.25,9.5,4,10,10,tailender
Het Patel,4.5,4.0,4,7,4,top_order
Himalay Agarwal,4.375,4.0,2,7,4,top_order
Himalaya Barad,3.0,1.0,1,7,1,opener
Himanshu Bisht,7.6,7.5,7,9,7,lower_order
Himanshu Chawla,5.5,6.0,3,7,6,middle_order
Himanshu Rana,2.90625,3.0,1,5,3,top_order
Himanshu Sangwan,10.0,10.0,9,11,10,tailender
Himmat Singh,4.636363636363637,5.0,1,8,5,middle_order
Hiten Dalal,1.8695652173913044,2.0,1,2,2,opener
Hiten Mehra,5.666666666666667,6.0,4,7,4,top_order
Hitesh Kadam,10.0,10.0,10,10,10,tailender
Hmar Zothanchhunga,6.0,6.0,6,6,6,middle_order
Hokaito Zhimomi,5.6,5.0,4,8,5,middle_order
Homendro Kabrambam,7.363636363636363,8.0,4,9,8,lower_order
Hrishi Raj,9.0,9.0,9,9,9,tailender
Hrishikesh Tamuli,5.0,6.0,2,7,2,opener
Hrithik Kanojia,2.6666666666666665,2.0,2,4,2,opener
I Sharma,11.0,11.0,11,11,11,tailender
IC Pandey,7.857142857142857,9.0,3,10,9,tailender
IC Porel,11.0,11.0,11,11,11,tailender
IK Pathan,6.0,6.0,4,7,6,middle_order
IR Jaggi,4.0,5.0,1,7,5,middle_order
Ian Dev Singh,3.076923076923077,3.0,1,5,4,top_order
Imliwati Lemtur,7.5,7.5,6,9,7,lower_order
Inakato Zhimomi,9.0,9.0,9,9,9,tailender
Indiya Toku,5.0,5.0,5,5,5,middle_order
Iqbal Abdulla,4.928571428571429,4.0,4,8,4,top_order
Iqlas Naha,6.333333333333333,7.0,5,7,7,lower_order
Ishaan Gadekar,1.0,1.0,1,1,1,opener
Ishan Kishan,1.7916666666666667,2.0,1,2,2,opener
Ishwar Chaudhary,8.692307692307692,9.0,6,11,9,tailender
J Anderson,3.0,3.0,3,3,3,top_order
J Biakthanpuia,5.0,5.0,5,5,5,middle_order
J Butte,11.0,11.0,11,11,11,tailender
J Kousik,8.0,8.0,7,9,7,lower_order
J Mallikarjun,4.5,5.5,1,6,6,middle_order
J Suchith,7.25,7.0,6,9,7,lower_order
J Syed Mohammad,5.8,6.0,4,7,7,lower_order
J Yadav,8.214285714285714,8.0,5,9,8,lower_order
JD Unadkat,7.576923076923077,8.0,5,10,9,tailender
JH Saroha,7.0,7.0,7,7,7,lower_order
JJ Bumrah,11.0,11.0,11,11,11,tailender
JJ Lamare,5.2,6.0,2,8,2,opener
JM Sharma,2.8780487804878048,2.0,1,7,2,opener
JP Zope,9.0,9.0,9,9,9,tailender
JR Banik,1.6,1.0,1,3,1,opener
Jafar Jamal,6.666666666666667,7.0,5,8,5,middle_order
Jagjit Singh,9.5,9.5,9,10,9,tailender
Jahan Uddin,7.333333333333333,8.0,6,8,8,lower_order
Jaideep Bhambhu,11.0,11.0,11,11,11,tailender
Jalaj S Saxena,4.214285714285714,2.5,2,8,2,opener
Jaskaran Singh,6.538461538461538,6.0,5,9,6,middle_order
Jaskaranvir Singh Sohi,5.375,5.5,2,8,5,middle_order
Jatin Saxena,1.0,1.0,1,1,1,opener
Jatin Wadhwan,1.9285714285714286,2.0,1,2,2,opener
Jaweed Ali,6.333333333333333,6.0,6,7,6,middle_order
Jay Bista,1.2962962962962963,1.0,1,2,1,opener
Jay Gohil,6.555555555555555,7.0,4,8,6,middle_order
Jayanta Behera,11.0,11.0,11,11,11,tailender
Jayanta Sagatpam,4.6,5.0,3,6,5,middle_order
