player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs,mid_runs,death_runs,pp_balls_faced,mid_balls_faced,death_balls_faced,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,balls_faced_per_match,sample_reliability_score,team,season_start_year,avg_position,median_position,highest_position,lowest_position,typical_position,position_role,batting_role,eligible_for_model,ml_suitability_score
A Mithun,50,13,47,5,2,11,3.85,18,0,0.154,4,0.308,5.18,0,0,0.0,0.0,106.38,0.149,0.043,0.106,0.64,0.511,0,1,49,1,3,43,0.0,0.02,0.98,0.0,33.33,113.95,death,5.0,2.86,3.62,0.696,Karnataka,2020,8.285714285714286,8.5,4,10,8,lower_order,tailender,True,61.70915848196652
A Mukund,170,7,136,16,5,6,24.29,67,1,0.143,0,0.0,23.49,3,1,0.429,0.143,125.0,0.154,0.037,0.118,0.553,0.39,84,86,0,85,51,0,0.494,0.506,0.0,98.82,168.63,,middle,28.17,1.0,19.43,0.938,Tamil Nadu,2017,1.2857142857142858,1.0,1,2,1,opener,anchor_opener,True,69.96395549749013
A Nagwaswalla,26,7,25,3,1,3,3.71,12,1,0.571,0,0.0,3.99,0,0,0.0,0.0,104.0,0.16,0.04,0.12,0.692,0.52,0,0,26,0,0,25,0.0,0.0,1.0,,,104.0,death,1.0,4.17,3.57,0.542,Gujarat,2021,10.142857142857142,10.0,10,11,10,tailender,tailender,True,55.49522028375489
A Palkar,2,1,2,0,0,0,2.0,2,2,1.0,0,0.0,0.0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,2,0.0,0.0,1.0,,,100.0,death,2.0,,2.0,0.071,Maharashtra,2021,10.0,10.0,10,10,10,tailender,tailender,False,41.51740200857325
A Prateek Reddy,3,2,12,0,0,2,1.5,3,0,0.0,1,0.5,2.12,0,0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.833,3,0,0,10,2,0,1.0,0.0,0.0,30.0,0.0,,powerplay,3.0,0.0,6.0,0.175,Hyderabad (India),2022,5.0,5.0,2,8,2,opener,anchor_opener,False,14.096181624771578
A Pratyush Kumar,24,1,28,1,1,1,24.0,24,24,0.0,0,0.0,0.0,0,0,0.0,0.0,85.71,0.071,0.036,0.036,0.417,0.536,21,3,0,24,4,0,0.875,0.125,0.0,87.5,75.0,,powerplay,,24.0,28.0,0.179,Baroda,2018,2.0,2.0,2,2,2,opener,anchor_opener,False,21.49793880337285
A Raghuvanshi,74,3,71,5,3,2,24.67,32,16,0.333,0,0.0,8.08,1,0,0.333,0.0,104.23,0.113,0.042,0.07,0.514,0.437,56,18,0,47,24,0,0.757,0.243,0.0,119.15,75.0,,powerplay,24.67,,23.67,0.483,Mumbai,2023,2.0,2.0,2,2,2,opener,anchor_opener,True,33.57429064594983
A Sheth,215,24,168,18,7,8,8.96,29,0,0.667,1,0.042,8.06,0,0,0.0,0.0,127.98,0.149,0.042,0.107,0.53,0.333,13,20,182,10,35,123,0.06,0.093,0.847,130.0,57.14,147.97,death,6.33,11.58,7.0,1.0,Baroda,2024,7.423076923076923,8.0,4,10,8,lower_order,tailender,True,72.40469527532402
A Singhania,44,8,55,3,2,6,5.5,18,0,0.25,3,0.375,7.23,0,0,0.0,0.0,80.0,0.091,0.036,0.055,0.545,0.6,0,15,29,0,27,28,0.0,0.341,0.659,,55.56,103.57,death,,5.5,6.88,0.729,Meghalaya,2020,9.0,9.0,8,10,9,tailender,tailender,True,19.536331231433017
A Thapa,0,1,3,0,0,1,0.0,0,0,0.0,1,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0,0,0,0,3,0,,,,,0.0,,unknown,,0.0,3.0,0.075,Arunachal Pradesh,2023,8.0,8.0,8,8,8,lower_order,tailender,False,20.13556115487721
A Tomar,37,4,59,3,0,4,9.25,14,5,0.0,0,0.0,4.03,0,0,0.0,0.0,62.71,0.051,0.0,0.051,0.324,0.593,29,8,0,45,14,0,0.784,0.216,0.0,64.44,57.14,,powerplay,9.25,,14.75,0.496,Rajasthan,2018,1.5,1.0,1,3,1,opener,anchor_opener,True,16.790718343742437
AA Bamal,26,4,19,1,2,4,6.5,18,0,0.0,1,0.25,7.9,0,0,0.0,0.0,136.84,0.158,0.105,0.053,0.615,0.421,4,5,17,8,4,7,0.154,0.192,0.654,50.0,125.0,242.86,death,18.0,2.67,4.75,0.329,Services,2017,5.75,6.0,5,6,6,middle_order,middle_order,True,64.52849823041903
AA Barot,348,11,219,38,14,11,31.64,122,4,0.0,0,0.0,38.91,2,2,0.182,0.182,158.9,0.237,0.064,0.174,0.678,0.288,147,166,35,110,94,15,0.422,0.477,0.101,133.64,176.6,233.33,death,41.43,14.5,19.91,1.0,Saurashtra,2020,2.5454545454545454,2.0,1,4,2,opener,aggressive_opener,True,63.121334429953215
