player,team,season_start_year,batting_strength_score,bowling_strength_score,allrounder_index,is_batting_allrounder,is_bowling_allrounder,allrounder_role,total_runs,total_matches,total_balls_faced,avg_runs,strike_rate,batting_role,total_wickets,total_matches_bowled,total_balls_bowled,avg_wickets_per_match,economy_rate,bowling_role
SM Curran,Punjab Kings,2025.0,59.42,76.7,68.06,True,True,batting_allrounder,997.0,53.0,731.0,18.81,136.39,finisher,59.0,63.0,1253.0,0.937,9.86,death_bowler
SM Harwood,Rajasthan Royals,2009.0,24.08,85.79,54.94,False,False,pure_bowler,9.0,2.0,14.0,4.5,64.29,tailender,3.0,3.0,60.0,1.0,7.4,death_bowler
SM Katich,Kings XI Punjab,2009.0,61.21,0.0,30.6,False,False,pure_batter,241.0,11.0,186.0,21.91,129.57,aggressive_opener,,,,,,
SM Pollock,Mumbai Indians,2007.0,60.28,78.72,69.5,True,False,batting_allrounder,147.0,8.0,111.0,18.38,132.43,finisher,11.0,13.0,276.0,0.846,6.67,powerplay_bowler
SMSM Senanayake,Kolkata Knight Riders,2013.0,21.46,86.24,53.85,False,False,pure_bowler,10.0,4.0,17.0,2.5,58.82,tailender,9.0,8.0,192.0,1.125,6.59,powerplay_bowler
SN Khan,Royal Challengers Bangalore,2026.0,62.49,32.8,47.64,False,False,pure_batter,707.0,40.0,515.0,17.68,137.28,finisher,0.0,1.0,2.0,0.0,18.0,part_time_bowler
SN Thakur,Chennai Super Kings,2026.0,52.06,81.7,66.88,False,True,bowling_allrounder,333.0,42.0,240.0,7.93,138.75,tailender,114.0,107.0,2154.0,1.065,9.68,death_bowler
SO Hetmyer,Rajasthan Royals,2026.0,66.33,0.0,33.16,False,False,pure_batter,1512.0,81.0,996.0,18.67,151.81,finisher,,,,,,
SP Fleming,Chennai Super Kings,2007.0,57.44,0.0,28.72,False,False,pure_batter,196.0,10.0,165.0,19.6,118.79,anchor_opener,,,,,,
SP Goswami,Rajasthan Royals,2020.0,43.93,0.0,21.96,False,False,pure_batter,293.0,21.0,295.0,13.95,99.32,anchor_opener,,,,,,
SP Jackson,Kolkata Knight Riders,2022.0,40.12,0.0,20.06,False,False,pure_batter,61.0,8.0,57.0,7.62,107.02,middle_order,,,,,,
SP Narine,Kolkata Knight Riders,2026.0,68.2,82.46,75.33,False,True,bowling_allrounder,1816.0,122.0,1090.0,14.89,166.61,aggressive_opener,195.0,191.0,4441.0,1.021,6.94,middle_overs_bowler
SPD Smith,Rajasthan Royals,2021.0,65.9,34.0,49.95,False,False,pure_batter,2495.0,93.0,1945.0,26.83,128.28,top_order_anchor,0.0,1.0,2.0,0.0,15.0,part_time_bowler
SR Tendulkar,Mumbai Indians,2013.0,66.63,38.84,52.74,False,False,pure_batter,2334.0,78.0,1948.0,29.92,119.82,anchor_opener,0.0,4.0,36.0,0.0,9.83,part_time_bowler
SR Watson,Rajasthan Royals,2020.0,68.98,77.32,73.15,True,True,batting_allrounder,3880.0,141.0,2813.0,27.52,137.93,anchor_opener,92.0,105.0,2029.0,0.876,8.11,powerplay_bowler
SS Agarwal,Gujarat Lions,2017.0,0.0,78.1,39.05,False,False,pure_bowler,,,,,,,1.0,1.0,24.0,1.0,10.5,part_time_bowler
SS Cottrell,Kings XI Punjab,2020.0,0.0,83.54,41.77,False,False,pure_bowler,0.0,1.0,2.0,0.0,0.0,tailender,6.0,6.0,120.0,1.0,8.85,powerplay_bowler
SS Iyer,Delhi Daredevils,2026.0,70.27,53.88,62.08,False,False,pure_batter,3938.0,135.0,2908.0,29.17,135.42,top_order_anchor,0.0,1.0,6.0,0.0,7.0,part_time_bowler
SS Mundhe,Pune Warriors,2011.0,0.0,89.28,44.64,False,False,pure_bowler,,,,,,,1.0,1.0,6.0,1.0,6.0,part_time_bowler
SS Prabhudessai,Royal Challengers Bangalore,2024.0,49.01,0.0,24.5,False,False,pure_batter,126.0,10.0,106.0,12.6,118.87,middle_order,,,,,,
SS Sarkar,Kolkata Knight Riders,2009.0,0.0,58.24,29.12,False,False,pure_bowler,,,,,,,1.0,2.0,25.0,0.5,8.16,part_time_bowler
SS Shaikh,Kolkata Knight Riders,2009.0,32.1,0.0,16.05,False,False,pure_batter,6.0,1.0,7.0,6.0,85.71,tailender,,,,,,
SS Tiwary,Mumbai Indians,2021.0,57.42,0.0,28.71,False,False,pure_batter,1494.0,73.0,1244.0,20.47,120.1,middle_order,,,,,,
SSB Magala,Chennai Super Kings,2023.0,0.0,57.51,28.76,False,False,pure_bowler,,,,,,,1.0,2.0,36.0,0.5,8.67,part_time_bowler
ST Jayasuriya,Mumbai Indians,2009.0,69.48,65.48,67.48,True,True,batting_allrounder,768.0,30.0,532.0,25.6,144.36,aggressive_opener,13.0,21.0,294.0,0.619,8.08,middle_overs_bowler
STR Binny,Rajasthan Royals,2019.0,54.32,57.51,55.92,False,False,utility_player,880.0,66.0,683.0,13.33,128.84,finisher,22.0,63.0,594.0,0.349,7.71,middle_overs_bowler
SV Samson,Rajasthan Royals,2026.0,70.07,0.0,35.03,False,False,pure_batter,4889.0,177.0,3490.0,27.62,140.09,top_order_anchor,,,,,,
SW Billings,Delhi Daredevils,2022.0,57.44,0.0,28.72,False,False,pure_batter,503.0,27.0,388.0,18.63,129.64,finisher,,,,,,
SW Tait,Rajasthan Royals,2013.0,32.57,85.51,59.04,False,False,pure_bowler,23.0,5.0,26.0,4.6,88.46,tailender,23.0,21.0,473.0,1.095,8.47,death_bowler
SZ Mulani,Mumbai Indians,2024.0,35.35,41.26,38.3,False,False,pure_batter,1.0,1.0,1.0,1.0,100.0,tailender,0.0,2.0,30.0,0.0,11.4,part_time_bowler
Sachin Baby,Royal Challengers Bangalore,2021.0,50.02,85.58,67.8,False,False,pure_batter,144.0,11.0,118.0,13.09,122.03,finisher,2.0,2.0,10.0,1.0,4.8,part_time_bowler
Sakib Hussain,Sunrisers Hyderabad,2026.0,0.0,192.18,96.09,False,False,pure_bowler,,,,,,,4.0,1.0,24.0,4.0,6.0,part_time_bowler
Salman Butt,Kolkata Knight Riders,2007.0,60.19,0.0,30.1,False,False,pure_batter,193.0,7.0,161.0,27.57,119.88,anchor_opener,,,,,,
Sameer Rizvi,Delhi Capitals,2026.0,69.78,0.0,34.89,False,False,pure_batter,338.0,13.0,230.0,26.0,146.96,top_order_anchor,,,,,,
Sandeep Sharma,Sunrisers Hyderabad,2025.0,28.81,83.74,56.28,False,False,pure_bowler,60.0,26.0,75.0,2.31,80.0,tailender,151.0,141.0,3145.0,1.071,8.23,powerplay_bowler
Sanvir Singh,Sunrisers Hyderabad,2024.0,43.42,0.0,21.71,False,False,pure_batter,25.0,5.0,21.0,5.0,119.05,tailender,,,,,,
Saurav Chauhan,Royal Challengers Bengaluru,2024.0,44.1,0.0,22.05,False,False,pure_batter,18.0,3.0,15.0,6.0,120.0,middle_order,,,,,,
Sediqullah Atal,Delhi Capitals,2025.0,55.82,0.0,27.91,False,False,pure_batter,22.0,1.0,16.0,22.0,137.5,middle_order,,,,,,
Shahbaz Ahmed,Royal Challengers Bangalore,2026.0,51.11,59.21,55.16,False,False,utility_player,560.0,39.0,464.0,14.36,120.69,middle_order,22.0,46.0,594.0,0.478,9.79,middle_overs_bowler
Shahid Afridi,Deccan Chargers,2007.0,68.11,76.26,72.18,False,False,pure_bowler,81.0,9.0,46.0,9.0,176.09,middle_order,9.0,10.0,180.0,0.9,7.9,middle_overs_bowler
Shakib Al Hasan,Kolkata Knight Riders,2021.0,52.94,76.98,64.96,True,True,batting_allrounder,795.0,52.0,639.0,15.29,124.41,middle_order,63.0,70.0,1484.0,0.9,7.54,powerplay_bowler
Shashank Singh,Punjab Kings,2026.0,72.41,65.96,69.18,False,False,utility_player,807.0,36.0,510.0,22.42,158.24,finisher,4.0,6.0,60.0,0.667,9.1,middle_overs_bowler
Shivam Mavi,Kolkata Knight Riders,2022.0,33.5,79.06,56.28,False,False,pure_bowler,51.0,11.0,56.0,4.64,91.07,tailender,30.0,32.0,649.0,0.938,8.86,powerplay_bowler
Shivam Sharma,Kings XI Punjab,2014.0,59.21,72.65,65.93,False,False,pure_bowler,5.0,2.0,3.0,2.5,166.67,tailender,4.0,5.0,114.0,0.8,8.68,middle_overs_bowler
Shivam Singh,Punjab Kings,2024.0,24.03,0.0,12.02,False,False,pure_batter,2.0,1.0,3.0,2.0,66.67,tailender,,,,,,
Shivang Kumar,Sunrisers Hyderabad,2026.0,54.08,78.4,66.24,False,False,pure_bowler,9.0,2.0,6.0,4.5,150.0,tailender,4.0,4.0,90.0,1.0,8.87,middle_overs_bowler
Shoaib Ahmed,Deccan Chargers,2009.0,5.95,69.47,37.71,False,False,pure_bowler,1.0,3.0,6.0,0.33,16.67,tailender,5.0,7.0,102.0,0.714,9.06,middle_overs_bowler
Shoaib Akhtar,Kolkata Knight Riders,2007.0,10.7,108.96,59.83,False,False,pure_bowler,2.0,1.0,7.0,2.0,28.57,tailender,5.0,3.0,42.0,1.667,7.71,part_time_bowler
Shoaib Malik,Delhi Daredevils,2007.0,42.36,57.25,49.8,False,False,pure_bowler,52.0,5.0,47.0,10.4,110.64,middle_order,2.0,5.0,51.0,0.4,10.24,part_time_bowler
Shubman Gill,Gujarat Titans,2026.0,76.12,0.0,38.06,False,False,pure_batter,4031.0,117.0,2899.0,34.45,139.05,aggressive_opener,,,,,,
Sikandar Raza,Punjab Kings,2024.0,60.57,57.09,58.83,False,False,utility_player,182.0,9.0,136.0,20.22,133.82,middle_order,3.0,7.0,84.0,0.429,10.43,middle_overs_bowler
Simarjeet Singh,Sunrisers Hyderabad,2025.0,23.92,74.02,48.97,False,False,pure_bowler,10.0,6.0,15.0,1.67,66.67,tailender,11.0,14.0,240.0,0.786,10.28,powerplay_bowler
Sohail Tanvir,Rajasthan Royals,2007.0,45.97,119.58,82.78,False,False,pure_bowler,36.0,5.0,29.0,7.2,124.14,middle_order,22.0,11.0,247.0,2.0,6.68,death_bowler
