player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_runs_conceded,mid_runs_conceded,death_runs_conceded,pp_balls_bowled,mid_balls_bowled,death_balls_bowled,pp_economy,mid_economy,death_economy,pp_workload_pct,mid_workload_pct,death_workload_pct,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,balls_bowled_per_match,sample_reliability_score,team,season_start_year,eligible_for_model
Ankit Soni,2,6,109,145,3,0,7.98,72.5,54.5,0.333,0.52,0,0.0,0.339,0.5,0.0,3,138,4,6,102,1,3.0,8.12,24.0,0.055,0.936,0.009,powerplay,middle_overs_bowler,0.5,0.25,18.17,0.829,Gujarat Lions,2017,True
Anureet Singh,18,22,412,636,11,7,9.26,35.33,22.89,0.818,0.96,6,0.273,0.337,0.5,0.318,199,194,243,162,120,130,7.37,9.7,11.22,0.393,0.291,0.316,powerplay,death_bowler,1.0,0.78,18.73,1.0,Kings XI Punjab,2018,True
Arjun Tendulkar,3,5,73,117,9,1,9.62,39.0,24.33,0.6,0.55,0,0.0,0.411,1.8,0.2,57,24,36,54,8,11,6.33,18.0,19.64,0.74,0.11,0.151,powerplay,powerplay_bowler,0.5,0.67,14.6,0.617,Mumbai Indians,2024,True
Arshad Khan,12,18,260,502,28,1,11.58,41.83,21.67,0.667,0.77,1,0.056,0.346,1.556,0.056,326,32,144,186,18,56,10.52,10.67,15.43,0.715,0.069,0.215,powerplay,powerplay_bowler,1.0,0.33,14.44,1.0,Gujarat Titans,2025,True
Arshad Khan (2),0,1,12,25,1,0,12.5,,,0.0,0.0,0,0.0,0.333,1.0,0.0,0,25,0,0,12,0,,12.5,,0.0,1.0,0.0,middle,part_time_bowler,,0.0,12.0,0.112,Lucknow Super Giants,2024,False
Arshdeep Singh,102,86,1822,2796,118,6,9.21,27.41,17.86,1.186,1.14,28,0.326,0.356,1.372,0.07,1312,463,1021,888,312,622,8.86,8.9,9.85,0.487,0.171,0.341,powerplay,death_bowler,1.38,1.0,21.19,1.0,Punjab Kings,2026,True
Ashok Sharma,4,4,84,149,7,0,10.64,37.25,21.0,1.0,0.82,1,0.25,0.357,1.75,0.0,61,27,61,24,24,36,15.25,6.75,10.17,0.286,0.286,0.429,middle,death_bowler,1.0,1.0,21.0,0.6,Gujarat Titans,2026,False
Ashwani Kumar,11,7,123,234,7,2,11.41,21.27,11.18,1.571,1.27,3,0.429,0.285,1.0,0.286,61,78,95,30,54,39,12.2,8.67,14.62,0.244,0.439,0.317,middle,death_bowler,2.0,1.25,17.57,0.938,Mumbai Indians,2025,True
Atharva Taide,0,1,1,4,0,0,24.0,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,1,,,24.0,0.0,0.0,1.0,death,part_time_bowler,,0.0,1.0,0.067,Punjab Kings,2024,False
Auqib Nabi,0,1,12,17,1,0,8.5,,,0.0,0.0,0,0.0,0.333,1.0,0.0,17,0,0,12,0,0,8.5,,,1.0,0.0,0.0,powerplay,part_time_bowler,,0.0,12.0,0.112,Delhi Capitals,2026,False
