player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs,mid_runs,death_runs,pp_balls_faced,mid_balls_faced,death_balls_faced,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,balls_faced_per_match,sample_reliability_score,team,season_start_year,avg_position,median_position,highest_position,lowest_position,typical_position,position_role,batting_role,eligible_for_model
AA Noffke,9,1,10,1,0,1,9.0,9,9,0.0,0,0.0,0.0,0,0,0.0,0.0,90.0,0.1,0.0,0.1,0.444,0.4,0,9,0,0,10,0,0.0,1.0,0.0,,90.0,,middle,,9.0,10.0,0.104,Royal Challengers Bangalore,2007,8.0,8.0,8,8,8,lower_order,tailender,False
AB Agarkar,179,19,154,13,5,10,9.42,39,0,0.474,1,0.053,9.05,1,0,0.053,0.0,116.23,0.117,0.032,0.084,0.458,0.351,20,34,125,13,47,94,0.112,0.19,0.698,153.85,72.34,132.98,powerplay,10.5,9.29,8.11,1.0,Kolkata Knight Riders,2013,7.909090909090909,8.0,3,9,8,lower_order,tailender,True
AB Barath,42,3,42,5,1,2,14.0,33,2,0.333,0,0.0,16.64,1,0,0.333,0.0,100.0,0.143,0.024,0.119,0.619,0.5,18,22,2,14,23,5,0.429,0.524,0.048,128.57,95.65,40.0,powerplay,17.5,7.0,14.0,0.362,Kings XI Punjab,2009,4.0,5.0,1,6,1,opener,anchor_opener,False
AB Dinda,26,16,48,2,0,10,1.62,7,0,0.375,6,0.375,2.09,0,0,0.0,0.0,54.17,0.042,0.0,0.042,0.308,0.604,0,6,20,0,8,40,0.0,0.231,0.769,,75.0,50.0,middle,,1.62,3.0,0.7,Pune Warriors,2017,10.529411764705882,11.0,9,11,11,tailender,tailender,True
AB McDonald,123,9,100,9,4,5,13.67,33,0,0.444,1,0.111,11.43,2,0,0.222,0.0,123.0,0.13,0.04,0.09,0.488,0.35,30,13,80,19,16,65,0.244,0.106,0.65,157.89,81.25,123.08,powerplay,17.5,10.6,11.11,0.917,Delhi Daredevils,2013,5.555555555555555,6.0,1,7,6,middle_order,middle_order,True
AB de Villiers,5181,170,3411,414,253,130,30.48,133,0,0.235,10,0.059,27.63,66,44,0.388,0.259,151.89,0.196,0.074,0.121,0.613,0.305,741,2572,1868,614,1959,838,0.143,0.496,0.361,120.68,131.29,222.91,death,40.09,23.06,20.06,1.0,Royal Challengers Bangalore,2021,3.866279069767442,4.0,1,6,4,top_order,top_order_anchor,True
AC Blizzard,120,7,90,21,2,7,17.14,51,0,0.0,1,0.143,19.47,2,1,0.286,0.143,133.33,0.256,0.022,0.233,0.8,0.522,99,21,0,76,14,0,0.825,0.175,0.0,130.26,150.0,,middle,31.33,6.5,12.86,0.812,Mumbai Indians,2012,1.1428571428571428,1.0,1,2,1,opener,aggressive_opener,True
AC Gilchrist,2069,80,1495,239,92,76,25.86,109,0,0.05,7,0.088,24.65,26,13,0.325,0.162,138.39,0.221,0.062,0.16,0.729,0.453,1385,621,63,1033,430,32,0.669,0.3,0.03,134.08,144.42,196.88,death,32.11,20.75,18.69,1.0,Deccan Chargers,2013,1.25,1.0,1,2,1,opener,aggressive_opener,True
AC Thomas,20,4,19,1,1,2,5.0,12,0,0.5,0,0.0,5.6,0,0,0.0,0.0,105.26,0.105,0.053,0.053,0.5,0.421,0,0,20,0,0,19,0.0,0.0,1.0,,,105.26,death,,5.0,4.75,0.329,Pune Warriors,2012,9.75,10.0,8,11,11,tailender,tailender,False
AC Voges,181,7,143,15,3,4,25.86,45,8,0.429,0,0.0,12.72,2,0,0.286,0.0,126.57,0.126,0.021,0.105,0.431,0.308,7,89,85,9,78,56,0.039,0.492,0.47,77.78,114.1,151.79,death,34.0,19.75,20.43,0.938,Rajasthan Royals,2009,5.571428571428571,5.0,5,7,5,middle_order,finisher,True
AD Hales,148,6,118,13,6,6,24.67,45,2,0.0,0,0.0,19.97,3,0,0.5,0.0,125.42,0.161,0.051,0.11,0.595,0.398,114,34,0,81,37,0,0.77,0.23,0.0,140.74,91.89,,powerplay,27.25,19.5,19.67,0.867,Sunrisers Hyderabad,2018,1.3333333333333333,1.0,1,2,1,opener,aggressive_opener,True
AD Mascarenhas,79,11,78,5,1,9,7.18,27,0,0.182,2,0.182,7.37,0,0,0.0,0.0,101.28,0.077,0.013,0.064,0.329,0.359,4,26,49,2,36,40,0.051,0.329,0.62,200.0,72.22,122.5,powerplay,4.5,7.78,7.09,0.825,Rajasthan Royals,2013,6.333333333333333,6.5,2,10,7,lower_order,tailender,True
AD Mathews,724,42,575,44,29,31,17.24,65,0,0.262,3,0.071,14.97,8,1,0.19,0.024,125.91,0.127,0.05,0.077,0.483,0.318,10,289,425,17,282,276,0.014,0.399,0.587,58.82,102.48,153.99,death,20.9,16.09,13.69,1.0,Pune Warriors,2017,5.5476190476190474,6.0,4,7,6,middle_order,finisher,True
