player,match_file,date,season,venue,team,opponent,winner,runs,balls_faced,fours,sixes,dismissed,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,dot_balls,season_start_year
D Padikkal,1280202.json,2021-11-04,2021/22,"ACA Stadium, Barsapara",Karnataka,Mumbai,Karnataka,5,3,1,0,1,5,3,0,0,0,0,1,2021
MK Pandey,1280202.json,2021-11-04,2021/22,"ACA Stadium, Barsapara",Karnataka,Mumbai,Karnataka,84,64,7,2,1,24,20,34,26,26,18,20,2021
KK Nair,1280202.json,2021-11-04,2021/22,"ACA Stadium, Barsapara",Karnataka,Mumbai,Karnataka,72,53,6,2,1,8,12,39,28,25,13,12,2021
PP Shaw,1280202.json,2021-11-04,2021/22,"ACA Stadium, Barsapara",Mumbai,Karnataka,Karnataka,4,3,1,0,1,4,3,0,0,0,0,2,2021
YBK Jaiswal,1280202.json,2021-11-04,2021/22,"ACA Stadium, Barsapara",Mumbai,Karnataka,Karnataka,13,12,2,0,1,13,11,0,1,0,0,5,2021
AM Rahane,1280202.json,2021-11-04,2021/22,"ACA Stadium, Barsapara",Mumbai,Karnataka,Karnataka,75,54,6,3,1,26,22,47,29,2,3,18,2021
SD Lad,1280202.json,2021-11-04,2021/22,"ACA Stadium, Barsapara",Mumbai,Karnataka,Karnataka,32,25,5,0,1,0,0,32,24,0,1,9,2021
S Dube,1280202.json,2021-11-04,2021/22,"ACA Stadium, Barsapara",Mumbai,Karnataka,Karnataka,3,6,0,0,1,0,0,0,0,3,6,3,2021
Aman Hakim Khan,1280202.json,2021-11-04,2021/22,"ACA Stadium, Barsapara",Mumbai,Karnataka,Karnataka,1,2,0,0,1,0,0,0,0,1,2,1,2021
AP Tare,1280202.json,2021-11-04,2021/22,"ACA Stadium, Barsapara",Mumbai,Karnataka,Karnataka,12,10,1,0,0,0,0,0,0,12,10,3,2021
Atharva Ankolekar,1280202.json,2021-11-04,2021/22,"ACA Stadium, Barsapara",Mumbai,Karnataka,Karnataka,13,8,0,1,0,0,0,0,0,13,8,2,2021
M Vohra,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Punjab,Kerala,Kerala,13,15,2,0,1,13,15,0,0,0,0,8,2015
Pargat Singh,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Punjab,Kerala,Kerala,35,31,5,0,1,24,21,11,10,0,0,13,2015
Yuvraj Singh,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Punjab,Kerala,Kerala,54,44,7,1,1,1,1,24,24,29,19,17,2015
Mayank Sidhana,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Punjab,Kerala,Kerala,2,3,0,0,1,0,0,2,3,0,0,1,2015
Harbhajan Singh,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Punjab,Kerala,Kerala,12,14,0,1,1,0,0,12,14,0,0,7,2015
Anmol Malhotra,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Punjab,Kerala,Kerala,3,4,0,0,1,0,0,3,3,0,1,2,2015
Himanshu Chawla,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Punjab,Kerala,Kerala,5,5,0,0,1,0,0,0,0,5,5,2,2015
Gurinder Singh,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Punjab,Kerala,Kerala,1,4,0,0,0,0,0,0,0,1,4,3,2015
Jaskaran Singh,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Punjab,Kerala,Kerala,2,1,0,0,0,0,0,0,0,2,1,0,2015
Mohammed Azharuddeen,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Kerala,Punjab,Kerala,25,30,2,1,1,19,21,6,9,0,0,17,2015
SV Samson,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Kerala,Punjab,Kerala,72,56,6,3,1,17,15,27,23,28,18,20,2015
Rohan Prem,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Kerala,Punjab,Kerala,7,12,0,0,1,0,0,7,12,0,0,5,2015
Sachin Baby,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Kerala,Punjab,Kerala,5,4,1,0,1,0,0,5,4,0,0,2,2015
VA Jagadeesh,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Kerala,Punjab,Kerala,16,15,1,0,0,0,0,4,6,12,9,3,2015
RV Gomez,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Kerala,Punjab,Kerala,0,1,0,0,1,0,0,0,0,0,1,1,2015
P Prasanth,902213.json,2016-01-09,2015/16,St Pauls college ground Kalamassery,Kerala,Punjab,Kerala,1,1,0,0,0,0,0,0,0,1,1,0,2015
Karnajit Yumnam,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Manipur,Arunachal Pradesh,Manipur,6,9,1,0,1,6,9,0,0,0,0,6,2020
Narsingh Yadav,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Manipur,Arunachal Pradesh,Manipur,13,14,0,1,1,13,14,0,0,0,0,8,2020
Langlonyamba Meitan Keishangbam,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Manipur,Arunachal Pradesh,Manipur,29,34,2,0,1,5,10,24,24,0,0,12,2020
Nitesh Sedai,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Manipur,Arunachal Pradesh,Manipur,21,18,3,0,1,10,3,11,15,0,0,7,2020
Jayanta Sagatpam,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Manipur,Arunachal Pradesh,Manipur,18,15,3,0,1,0,0,18,14,0,1,6,2020
Rex Rajkumar,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Manipur,Arunachal Pradesh,Manipur,21,10,1,1,1,0,0,3,2,18,8,1,2020
Ahmed Shah,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Manipur,Arunachal Pradesh,Manipur,6,3,0,1,1,0,0,0,0,6,3,2,2020
L Kishan Singha,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Manipur,Arunachal Pradesh,Manipur,22,12,1,1,0,0,0,0,0,22,12,1,2020
Kishan Thokchom,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Manipur,Arunachal Pradesh,Manipur,4,2,1,0,1,0,0,0,0,4,2,1,2020
Lamabam Singh,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Manipur,Arunachal Pradesh,Manipur,4,4,0,0,0,0,0,0,0,4,4,0,2020
Neelam Obi,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Arunachal Pradesh,Manipur,Manipur,9,13,2,0,1,9,13,0,0,0,0,10,2020
Techi Doria,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Arunachal Pradesh,Manipur,Manipur,0,2,0,0,1,0,2,0,0,0,0,2,2020
Kumar Nyompu,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Arunachal Pradesh,Manipur,Manipur,12,14,1,1,1,12,14,0,0,0,0,10,2020
Kamsha Yangfo,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Arunachal Pradesh,Manipur,Manipur,22,24,4,0,1,6,5,16,19,0,0,14,2020
Rahul Dalal,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Arunachal Pradesh,Manipur,Manipur,29,27,2,1,1,0,2,25,23,4,2,11,2020
Nazeeb Saiyed,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Arunachal Pradesh,Manipur,Manipur,14,17,1,0,1,0,0,11,12,3,5,7,2020
Akhilesh Sahani,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Arunachal Pradesh,Manipur,Manipur,13,10,0,1,1,0,0,0,0,13,10,4,2020
Manvan Patel,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Arunachal Pradesh,Manipur,Manipur,0,0,0,0,1,0,0,0,0,0,0,0,2020
Yab Niya,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Arunachal Pradesh,Manipur,Manipur,1,8,0,0,0,0,0,0,0,1,8,7,2020
Rakesh Kumar,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Arunachal Pradesh,Manipur,Manipur,0,3,0,0,1,0,0,0,0,0,3,3,2020
Faruque Hussain,1244362.json,2021-01-15,2020/21,T I Murugappa Ground,Arunachal Pradesh,Manipur,Manipur,1,1,0,0,1,0,0,0,0,1,1,0,2020
Tanmay Agarwal,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Hyderabad (India),Goa,Hyderabad (India),55,41,6,1,1,17,13,38,27,0,1,13,2022
A Prateek Reddy,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Hyderabad (India),Goa,Hyderabad (India),3,10,0,0,1,3,10,0,0,0,0,8,2022
Tilak Varma,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Hyderabad (India),Goa,Hyderabad (India),62,46,6,2,1,11,13,44,28,7,5,15,2022
Rahul Buddhi,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Hyderabad (India),Goa,Hyderabad (India),8,5,1,0,1,0,0,0,0,8,5,2,2022
Ravi Teja,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Hyderabad (India),Goa,Hyderabad (India),4,3,1,0,1,0,0,0,0,4,3,2,2022
Mickil Jaiswal,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Hyderabad (India),Goa,Hyderabad (India),17,9,1,1,1,0,0,0,0,17,9,1,2022
Tanay Thyagarajan,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Hyderabad (India),Goa,Hyderabad (India),10,6,0,1,0,0,0,0,0,10,6,2,2022
CV Milind,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Hyderabad (India),Goa,Hyderabad (India),1,1,0,0,0,0,0,0,0,1,1,0,2022
Snehal Kauthankar,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Goa,Hyderabad (India),Hyderabad (India),12,11,2,0,1,12,11,0,0,0,0,6,2022
Aditya Kaushik,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Goa,Hyderabad (India),Hyderabad (India),33,22,0,4,1,31,18,2,4,0,0,10,2022
TT Sawkar,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Goa,Hyderabad (India),Hyderabad (India),23,21,1,1,1,15,9,8,12,0,0,8,2022
SD Lad,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Goa,Hyderabad (India),Hyderabad (India),0,3,0,0,1,0,0,0,3,0,0,3,2022
Darshan Misal,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Goa,Hyderabad (India),Hyderabad (India),1,4,0,0,1,0,0,1,4,0,0,3,2022
Eknath Kerkar,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Goa,Hyderabad (India),Hyderabad (India),19,17,1,0,1,0,0,19,17,0,0,3,2022
SS Prabhudessai,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Goa,Hyderabad (India),Hyderabad (India),12,16,1,0,1,0,0,10,11,2,5,7,2022
Deepraj Gaonkar,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Goa,Hyderabad (India),Hyderabad (India),7,4,1,0,1,0,0,7,3,0,1,1,2022
Arjun Tendulkar,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Goa,Hyderabad (India),Hyderabad (India),2,3,0,0,1,0,0,0,0,2,3,1,2022
Amit Yadav,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Goa,Hyderabad (India),Hyderabad (India),9,7,0,1,1,0,0,0,0,9,7,3,2022
Lakshay Garg,1332956.json,2022-10-14,2022/23,"Sawai Mansingh Stadium, Jaipur",Goa,Hyderabad (India),Hyderabad (India),7,7,0,0,0,0,0,0,0,7,7,1,2022
N Jagadeesan,1280255.json,2021-11-08,2021/22,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Tamil Nadu,Goa,Goa,21,26,2,0,1,18,18,3,8,0,0,14,2021
Hari Nishaanth,1280255.json,2021-11-08,2021/22,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Tamil Nadu,Goa,Goa,10,10,2,0,1,10,10,0,0,0,0,6,2021
R Sai Kishore,1280255.json,2021-11-08,2021/22,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Tamil Nadu,Goa,Goa,7,5,0,1,1,7,5,0,0,0,0,3,2021
B Sai Sudharsan,1280255.json,2021-11-08,2021/22,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Tamil Nadu,Goa,Goa,10,17,0,0,1,1,3,9,14,0,0,8,2021
V Shankar,1280255.json,2021-11-08,2021/22,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Tamil Nadu,Goa,Goa,4,3,1,0,1,0,0,4,3,0,0,2,2021
R Sanjay Yadav,1280255.json,2021-11-08,2021/22,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Tamil Nadu,Goa,Goa,38,29,2,2,1,0,0,15,17,23,12,9,2021
M Shahrukh Khan,1280255.json,2021-11-08,2021/22,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Tamil Nadu,Goa,Goa,26,24,3,0,1,0,0,11,13,15,11,8,2021
M Ashwin,1280255.json,2021-11-08,2021/22,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Tamil Nadu,Goa,Goa,2,2,0,0,0,0,0,0,0,2,2,0,2021
M Mohammed,1280255.json,2021-11-08,2021/22,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Tamil Nadu,Goa,Goa,0,1,0,0,1,0,0,0,0,0,1,1,2021
P Saravana Kumar,1280255.json,2021-11-08,2021/22,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Tamil Nadu,Goa,Goa,11,5,2,0,1,0,0,0,0,11,5,1,2021
Eknath Kerkar,1280255.json,2021-11-08,2021/22,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Goa,Tamil Nadu,Goa,0,1,0,0,1,0,1,0,0,0,0,1,2021
Lakshay Garg,1280255.json,2021-11-08,2021/22,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Goa,Tamil Nadu,Goa,0,2,0,0,1,0,2,0,0,0,0,2,2021
Aditya Kaushik,1280255.json,2021-11-08,2021/22,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Goa,Tamil Nadu,Goa,41,43,4,0,1,22,21,19,22,0,0,18,2021
Shubham Ranjane,1280255.json,2021-11-08,2021/22,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Goa,Tamil Nadu,Goa,52,42,3,2,0,10,12,23,19,19,11,12,2021
SS Prabhudessai,1280255.json,2021-11-08,2021/22,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Goa,Tamil Nadu,Goa,43,24,1,4,0,0,0,18,13,25,11,6,2021
AN Longchar,1205802.json,2019-11-14,2019/20,C B Patel Ground,Nagaland,Jharkhand,Jharkhand,0,9,0,0,1,0,9,0,0,0,0,9,2019
Tejosel Yiethun,1205802.json,2019-11-14,2019/20,C B Patel Ground,Nagaland,Jharkhand,Jharkhand,8,12,0,1,1,8,12,0,0,0,0,10,2019
SS Mundhe,1205802.json,2019-11-14,2019/20,C B Patel Ground,Nagaland,Jharkhand,Jharkhand,74,46,5,6,1,9,11,55,28,10,7,17,2019
STR Binny,1205802.json,2019-11-14,2019/20,C B Patel Ground,Nagaland,Jharkhand,Jharkhand,52,47,6,0,1,2,5,36,28,14,14,16,2019
YV Takawale,1205802.json,2019-11-14,2019/20,C B Patel Ground,Nagaland,Jharkhand,Jharkhand,1,2,0,0,1,0,0,0,0,1,2,1,2019
Hokaito Zhimomi,1205802.json,2019-11-14,2019/20,C B Patel Ground,Nagaland,Jharkhand,Jharkhand,0,2,0,0,1,0,0,0,0,0,2,2,2019
Nagaho Chishi,1205802.json,2019-11-14,2019/20,C B Patel Ground,Nagaland,Jharkhand,Jharkhand,3,4,0,0,0,0,0,0,0,3,4,1,2019
Imliwati Lemtur,1205802.json,2019-11-14,2019/20,C B Patel Ground,Nagaland,Jharkhand,Jharkhand,1,1,0,0,0,0,0,0,0,1,1,0,2019
Anand Singh,1205802.json,2019-11-14,2019/20,C B Patel Ground,Jharkhand,Nagaland,Jharkhand,81,59,11,2,0,36,25,37,25,8,9,26,2019
Ishan Kishan,1205802.json,2019-11-14,2019/20,C B Patel Ground,Jharkhand,Nagaland,Jharkhand,48,31,6,2,1,13,12,35,19,0,0,11,2019
Virat Singh,1205802.json,2019-11-14,2019/20,C B Patel Ground,Jharkhand,Nagaland,Jharkhand,4,6,0,0,1,0,0,4,6,0,0,2,2019
Kumar Deobrat,1205802.json,2019-11-14,2019/20,C B Patel Ground,Jharkhand,Nagaland,Jharkhand,1,4,0,0,1,0,0,1,4,0,0,3,2019
Nazim Siddiqui,1205802.json,2019-11-14,2019/20,C B Patel Ground,Jharkhand,Nagaland,Jharkhand,11,8,2,0,0,0,0,0,0,11,8,3,2019
T Kohli,1205746.json,2019-11-09,2019/20,BKC Ground,Mizoram,Bengal,Bengal,1,3,0,0,1,1,3,0,0,0,0,2,2019
Lalhmangaiha,1205746.json,2019-11-09,2019/20,BKC Ground,Mizoram,Bengal,Bengal,21,45,2,0,1,7,19,14,26,0,0,31,2019
Lalhruaizela,1205746.json,2019-11-09,2019/20,BKC Ground,Mizoram,Bengal,Bengal,12,20,0,0,1,8,14,4,6,0,0,9,2019
KB Pawan,1205746.json,2019-11-09,2019/20,BKC Ground,Mizoram,Bengal,Bengal,35,29,1,3,0,0,0,10,15,25,14,12,2019
Parvez Ahmed,1205746.json,2019-11-09,2019/20,BKC Ground,Mizoram,Bengal,Bengal,5,17,0,0,1,0,0,2,7,3,10,12,2019
Abhay,1205746.json,2019-11-09,2019/20,BKC Ground,Mizoram,Bengal,Bengal,1,6,0,0,0,0,0,0,0,1,6,5,2019
SP Goswami,1205746.json,2019-11-09,2019/20,BKC Ground,Bengal,Mizoram,Bengal,21,26,1,0,0,10,15,11,11,0,0,11,2019
Vivek Singh,1205746.json,2019-11-09,2019/20,BKC Ground,Bengal,Mizoram,Bengal,52,32,8,2,1,40,22,12,10,0,0,14,2019
Ritwik Roy Chowdhury,1205746.json,2019-11-09,2019/20,BKC Ground,Bengal,Mizoram,Bengal,7,3,1,0,0,0,0,7,3,0,0,0,2019
Mangal Mahrour,1157130.json,2019-02-24,2018/19,C B Patel Ground,Bihar,Tamil Nadu,Tamil Nadu,12,28,0,0,1,8,20,4,8,0,0,17,2018
Piyush Singh,1157130.json,2019-02-24,2018/19,C B Patel Ground,Bihar,Tamil Nadu,Tamil Nadu,17,19,0,1,1,16,16,1,3,0,0,9,2018
Babul Kumar,1157130.json,2019-02-24,2018/19,C B Patel Ground,Bihar,Tamil Nadu,Tamil Nadu,0,1,0,0,1,0,0,0,1,0,0,1,2018
Asfan Khan,1157130.json,2019-02-24,2018/19,C B Patel Ground,Bihar,Tamil Nadu,Tamil Nadu,19,24,1,1,1,0,0,19,24,0,0,14,2018
MD Rahmatullah,1157130.json,2019-02-24,2018/19,C B Patel Ground,Bihar,Tamil Nadu,Tamil Nadu,32,18,2,3,1,0,0,28,16,4,2,7,2018
Keshav Kumar,1157130.json,2019-02-24,2018/19,C B Patel Ground,Bihar,Tamil Nadu,Tamil Nadu,21,13,4,0,0,0,0,4,2,17,11,4,2018
Prashant Singh,1157130.json,2019-02-24,2018/19,C B Patel Ground,Bihar,Tamil Nadu,Tamil Nadu,11,5,0,1,1,0,0,0,0,11,5,1,2018
Samar Quadri,1157130.json,2019-02-24,2018/19,C B Patel Ground,Bihar,Tamil Nadu,Tamil Nadu,0,2,0,0,1,0,0,0,0,0,2,2,2018
Vivek Kumar,1157130.json,2019-02-24,2018/19,C B Patel Ground,Bihar,Tamil Nadu,Tamil Nadu,0,0,0,0,1,0,0,0,0,0,0,0,2018
Ashutosh Aman,1157130.json,2019-02-24,2018/19,C B Patel Ground,Bihar,Tamil Nadu,Tamil Nadu,5,9,0,0,1,0,0,0,0,5,9,4,2018
Vishal Das,1157130.json,2019-02-24,2018/19,C B Patel Ground,Bihar,Tamil Nadu,Tamil Nadu,0,1,0,0,0,0,0,0,0,0,1,1,2018
NS Chaturved,1157130.json,2019-02-24,2018/19,C B Patel Ground,Tamil Nadu,Bihar,Tamil Nadu,25,23,2,0,1,19,15,6,8,0,0,6,2018
Hari Nishaanth,1157130.json,2019-02-24,2018/19,C B Patel Ground,Tamil Nadu,Bihar,Tamil Nadu,12,8,2,0,1,12,8,0,0,0,0,2,2018
B Indrajith,1157130.json,2019-02-24,2018/19,C B Patel Ground,Tamil Nadu,Bihar,Tamil Nadu,46,47,2,0,1,12,13,27,27,7,7,10,2018
R Ashwin,1157130.json,2019-02-24,2018/19,C B Patel Ground,Tamil Nadu,Bihar,Tamil Nadu,4,5,0,0,1,0,0,4,5,0,0,2,2018
Washington Sundar,1157130.json,2019-02-24,2018/19,C B Patel Ground,Tamil Nadu,Bihar,Tamil Nadu,38,25,4,1,0,0,0,15,14,23,11,5,2018
Rajendran Vivek,1157130.json,2019-02-24,2018/19,C B Patel Ground,Tamil Nadu,Bihar,Tamil Nadu,6,5,1,0,0,0,0,0,0,6,5,2,2018
S Dhawan,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Delhi,Mumbai,Delhi,23,23,2,0,1,22,21,1,2,0,0,8,2020
Hiten Dalal,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Delhi,Mumbai,Delhi,24,13,5,0,1,24,13,0,0,0,0,4,2020
Himmat Singh,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Delhi,Mumbai,Delhi,53,32,3,4,1,6,4,43,23,4,5,9,2020
N Rana,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Delhi,Mumbai,Delhi,74,37,7,5,1,0,0,57,29,17,8,12,2020
Anuj Rawat,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Delhi,Mumbai,Delhi,5,7,0,0,0,0,0,0,0,5,7,2,2020
Lalit Yadav,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Delhi,Mumbai,Delhi,21,10,2,1,0,0,0,0,0,21,10,2,2020
YBK Jaiswal,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Mumbai,Delhi,Delhi,0,2,0,0,1,0,2,0,0,0,0,2,2020
SA Yadav,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Mumbai,Delhi,Delhi,7,9,1,0,1,7,9,0,0,0,0,6,2020
AP Tare,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Mumbai,Delhi,Delhi,3,3,0,0,1,3,3,0,0,0,0,2,2020
SD Lad,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Mumbai,Delhi,Delhi,4,10,0,0,1,4,10,0,0,0,0,7,2020
SN Khan,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Mumbai,Delhi,Delhi,15,15,0,1,1,3,4,12,11,0,0,6,2020
S Dube,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Mumbai,Delhi,Delhi,63,42,3,5,1,3,8,52,26,8,8,15,2020
Shubham Ranjane,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Mumbai,Delhi,Delhi,14,13,0,1,1,0,0,14,13,0,0,5,2020
SZ Mulani,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Mumbai,Delhi,Delhi,11,8,0,1,1,0,0,3,4,8,4,2,2020
DS Kulkarni,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Mumbai,Delhi,Delhi,0,2,0,0,1,0,0,0,0,0,2,2,2020
TU Deshpande,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Mumbai,Delhi,Delhi,5,5,0,0,0,0,0,0,0,5,5,2,2020
Kruthik Hanagavadi,1244319.json,2021-01-11,2020/21,Wankhede Stadium,Mumbai,Delhi,Delhi,0,1,0,0,1,0,0,0,0,0,1,1,2020
SP Jackson,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Saurashtra,Jammu & Kashmir,Saurashtra,4,10,1,0,1,4,10,0,0,0,0,9,2015
CA Pujara,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Saurashtra,Jammu & Kashmir,Saurashtra,81,55,5,5,1,9,15,64,31,8,9,18,2015
Jaydev Shah,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Saurashtra,Jammu & Kashmir,Saurashtra,11,19,1,0,1,7,11,4,8,0,0,12,2015
AA Barot,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Saurashtra,Jammu & Kashmir,Saurashtra,6,7,0,0,1,0,0,6,7,0,0,1,2015
Chirag Jani,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Saurashtra,Jammu & Kashmir,Saurashtra,38,19,4,2,1,0,0,14,8,24,11,3,2015
Deepak Punia,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Saurashtra,Jammu & Kashmir,Saurashtra,2,3,0,0,1,0,0,0,0,2,3,2,2015
S Sanandia,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Saurashtra,Jammu & Kashmir,Saurashtra,11,5,2,0,0,0,0,0,0,11,5,1,2015
Arpit Vasavada,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Saurashtra,Jammu & Kashmir,Saurashtra,2,2,0,0,1,0,0,0,0,2,2,1,2015
Shubham Khajuria,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Jammu & Kashmir,Saurashtra,Saurashtra,2,5,0,0,1,2,5,0,0,0,0,3,2015
Adil Reshi,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Jammu & Kashmir,Saurashtra,Saurashtra,5,6,0,0,1,5,6,0,0,0,0,4,2015
Bandeep Singh,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Jammu & Kashmir,Saurashtra,Saurashtra,2,9,0,0,1,2,9,0,0,0,0,7,2015
Ian Dev Singh,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Jammu & Kashmir,Saurashtra,Saurashtra,30,35,2,1,1,1,9,29,26,0,0,17,2015
M Manhas,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Jammu & Kashmir,Saurashtra,Saurashtra,17,16,1,1,1,12,7,5,9,0,0,7,2015
Parvez Rasool,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Jammu & Kashmir,Saurashtra,Saurashtra,6,8,0,0,1,0,0,6,8,0,0,2,2015
Aditya Singh,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Jammu & Kashmir,Saurashtra,Saurashtra,0,2,0,0,1,0,0,0,2,0,0,2,2015
Waseem Raza,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Jammu & Kashmir,Saurashtra,Saurashtra,2,4,0,0,1,0,0,2,4,0,0,2,2015
Zahoor Sofi,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Jammu & Kashmir,Saurashtra,Saurashtra,4,7,0,0,1,0,0,1,1,3,6,3,2015
Mohammed Mudhasir,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Jammu & Kashmir,Saurashtra,Saurashtra,0,2,0,0,1,0,0,0,2,0,0,2,2015
Rohit Sharma,902141.json,2016-01-04,2015/16,Jawaharlal Nehru Stadium,Jammu & Kashmir,Saurashtra,Saurashtra,5,9,1,0,0,0,0,0,2,5,7,7,2015
