player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_economy,mid_economy,death_economy,pp_wicket_contribution,mid_wicket_contribution,death_wicket_contribution,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,team
M Ashwin,35,44,870,1182,25,3,8.15,33.77,24.86,0.795,0.88,9,0.205,0.325,0.568,0.068,9.33,7.82,9.05,0.103,0.752,0.145,middle,middle_overs_bowler,0.93,0.72,Kings XI Punjab
M Jansen,39,39,829,1317,48,10,9.53,33.77,21.26,1.0,0.89,11,0.282,0.376,1.231,0.256,9.03,9.7,11.06,0.528,0.333,0.139,powerplay,powerplay_bowler,1.22,0.69,Sunrisers Hyderabad
M Kartik,31,55,1149,1418,28,5,7.4,45.74,37.06,0.564,0.76,7,0.127,0.332,0.509,0.091,7.17,7.33,8.06,0.156,0.71,0.134,powerplay,middle_overs_bowler,0.83,0.35,Kolkata Knight Riders
M Markande,37,40,750,1157,17,1,9.26,31.27,20.27,0.925,1.1,10,0.25,0.287,0.425,0.025,,8.97,11.19,0.0,0.872,0.128,middle,middle_overs_bowler,1.0,0.86,Mumbai Indians
M Morkel,77,70,1629,2136,57,13,7.87,27.74,21.16,1.1,0.98,22,0.314,0.435,0.814,0.186,7.33,7.68,9.28,0.556,0.204,0.239,powerplay,powerplay_bowler,1.25,0.94,Delhi Daredevils
M Muralitharan,64,66,1528,1765,51,2,6.93,27.58,23.88,0.97,0.96,16,0.242,0.393,0.773,0.03,6.53,6.65,8.29,0.097,0.723,0.18,powerplay,middle_overs_bowler,1.03,0.9,Chennai Super Kings
M Ntini,7,9,210,257,1,2,7.34,36.71,30.0,0.778,1.39,2,0.222,0.471,0.111,0.222,7.0,7.33,8.83,0.743,0.086,0.171,powerplay,powerplay_bowler,2.33,0.0,Chennai Super Kings
M Pathirana,47,32,702,1047,83,2,8.95,22.28,14.94,1.469,1.11,17,0.531,0.336,2.594,0.062,,8.2,9.51,0.0,0.427,0.573,middle,death_bowler,1.86,1.17,Chennai Super Kings
M Prasidh Krishna,85,70,1601,2399,76,17,8.99,28.22,18.84,1.214,1.1,24,0.343,0.406,1.086,0.243,8.34,7.88,10.7,0.386,0.283,0.331,middle,all_phases_bowler,1.74,0.69,Kolkata Knight Riders
M Siddharth,5,7,144,203,4,3,8.46,40.6,28.8,0.714,0.76,1,0.143,0.361,0.571,0.429,8.0,8.5,11.0,0.5,0.417,0.083,powerplay,powerplay_bowler,0.6,1.0,Lucknow Super Giants
M Theekshana,36,38,876,1226,24,2,8.4,34.06,24.33,0.947,1.01,11,0.289,0.297,0.632,0.053,8.69,7.88,9.15,0.356,0.466,0.178,middle,all_phases_bowler,1.06,0.85,Chennai Super Kings
M de Lange,5,5,108,171,6,2,9.5,34.2,21.6,1.0,1.41,2,0.4,0.361,1.2,0.4,8.2,9.67,12.0,0.556,0.167,0.278,powerplay,powerplay_bowler,1.67,0.0,Kolkata Knight Riders
MA Starc,65,50,1064,1588,53,7,8.95,24.43,16.37,1.3,1.3,18,0.36,0.393,1.06,0.14,9.15,7.64,9.12,0.574,0.124,0.302,middle,powerplay_bowler,1.71,0.77,Royal Challengers Bangalore
MA Wood,11,5,120,192,6,1,9.6,17.45,10.91,2.2,1.92,3,0.6,0.392,1.2,0.2,10.0,5.43,12.67,0.2,0.35,0.45,middle,death_bowler,2.0,2.5,Lucknow Super Giants
MC Henriques,42,60,950,1302,28,1,8.22,31.0,22.62,0.7,0.83,10,0.167,0.322,0.467,0.017,8.28,7.98,9.73,0.214,0.683,0.103,middle,middle_overs_bowler,0.76,0.62,Sunrisers Hyderabad
MF Maharoof,27,20,420,532,16,5,7.6,19.7,15.56,1.35,0.93,11,0.55,0.393,0.8,0.25,7.57,6.6,9.12,0.4,0.357,0.243,middle,powerplay_bowler,1.7,1.0,Delhi Daredevils
MG Bracewell,6,5,66,95,0,0,8.64,15.83,11.0,1.2,0.84,2,0.4,0.394,0.0,0.0,6.5,9.11,,0.182,0.818,0.0,powerplay,middle_overs_bowler,1.67,0.5,Royal Challengers Bangalore
MG Johnson,62,54,1235,1740,57,9,8.45,28.06,19.92,1.148,0.94,22,0.407,0.433,1.056,0.167,8.04,8.1,9.68,0.503,0.253,0.245,powerplay,powerplay_bowler,1.42,0.78,Kings XI Punjab
MJ Clarke,2,5,66,72,0,0,6.55,36.0,33.0,0.4,0.55,0,0.0,0.333,0.0,0.0,,6.3,9.0,0.0,0.909,0.091,middle,middle_overs_bowler,,0.4,Pune Warriors
MJ Henry,4,9,162,314,4,0,11.63,78.5,40.5,0.444,0.73,1,0.111,0.247,0.444,0.0,10.95,12.25,14.25,0.704,0.148,0.148,powerplay,powerplay_bowler,0.4,0.5,Lucknow Super Giants
MJ McClenaghan,71,56,1274,1839,63,9,8.66,25.9,17.94,1.268,1.04,20,0.357,0.398,1.125,0.161,7.95,8.79,9.83,0.513,0.198,0.289,powerplay,powerplay_bowler,1.41,1.05,Mumbai Indians
MJ Santner,27,33,645,810,14,1,7.53,30.0,23.89,0.818,0.77,5,0.152,0.35,0.424,0.03,8.64,6.92,9.65,0.233,0.688,0.079,middle,middle_overs_bowler,1.06,0.56,Chennai Super Kings
MK Lomror,1,11,90,127,4,0,8.47,127.0,90.0,0.091,0.3,0,0.0,0.244,0.364,0.0,5.5,8.92,,0.133,0.867,0.0,powerplay,middle_overs_bowler,0.0,0.17,Rajasthan Royals
MK Tiwary,1,6,42,83,3,0,11.86,83.0,42.0,0.167,0.41,0,0.0,0.214,0.5,0.0,,11.0,14.0,0.0,0.714,0.286,middle,middle_overs_bowler,0.33,0.0,Kolkata Knight Riders
MM Ali,41,57,854,1036,14,1,7.28,25.27,20.83,0.719,0.92,9,0.158,0.345,0.246,0.018,5.56,7.49,7.58,0.112,0.821,0.067,powerplay,middle_overs_bowler,1.04,0.5,Chennai Super Kings
MM Patel,74,63,1355,1733,16,11,7.67,23.42,18.31,1.175,1.19,23,0.365,0.435,0.254,0.175,7.19,6.17,10.66,0.483,0.292,0.225,middle,powerplay_bowler,1.36,0.93,Mumbai Indians
MM Sharma,134,119,2403,3537,58,10,8.83,26.4,17.93,1.126,1.15,38,0.319,0.338,0.487,0.084,8.17,7.93,10.36,0.357,0.307,0.336,middle,all_phases_bowler,1.6,0.59,Chennai Super Kings
MN Samuels,9,11,214,285,5,0,7.99,31.67,23.78,0.818,0.87,1,0.091,0.369,0.455,0.0,6.23,8.29,10.15,0.364,0.393,0.243,powerplay,all_phases_bowler,0.4,1.17,Pune Warriors
MP Stoinis,44,72,894,1494,33,2,10.03,33.95,20.32,0.611,0.9,9,0.125,0.268,0.458,0.028,9.58,9.28,13.06,0.178,0.639,0.183,middle,middle_overs_bowler,0.83,0.41,Delhi Capitals
MP Yadav,9,6,121,188,7,1,9.32,20.89,13.44,1.5,1.38,3,0.5,0.471,1.167,0.167,12.33,8.18,7.58,0.298,0.545,0.157,death,middle_overs_bowler,1.75,1.0,Lucknow Super Giants
MR Marsh,37,34,560,803,30,3,8.6,21.7,15.14,1.088,1.14,11,0.324,0.323,0.882,0.088,8.77,7.64,11.11,0.189,0.595,0.216,middle,middle_overs_bowler,1.27,0.95,Delhi Capitals
MS Gony,37,44,888,1317,32,5,8.9,35.59,24.0,0.841,0.83,8,0.182,0.392,0.727,0.114,8.91,8.13,10.65,0.547,0.318,0.135,middle,powerplay_bowler,1.04,0.62,Chennai Super Kings
Mayank Dagar,2,8,137,205,1,0,8.98,102.5,68.5,0.25,0.46,0,0.0,0.314,0.125,0.0,14.5,8.56,7.76,0.088,0.788,0.124,death,middle_overs_bowler,0.0,0.29,Royal Challengers Bengaluru
Mohammad Asif,8,8,192,307,6,1,9.59,38.38,24.0,1.0,0.76,2,0.25,0.333,0.75,0.125,9.8,7.71,10.6,0.469,0.219,0.312,middle,powerplay_bowler,0.75,1.25,Delhi Daredevils
Mohammad Nabi,15,23,417,527,2,0,7.58,35.13,27.8,0.652,0.98,3,0.13,0.35,0.087,0.0,6.39,8.24,10.0,0.403,0.547,0.05,powerplay,powerplay_bowler,0.9,0.46,Sunrisers Hyderabad
Mohammed Shami,137,124,2728,3969,91,9,8.73,28.97,19.91,1.105,0.99,36,0.29,0.401,0.734,0.073,7.89,8.51,10.78,0.568,0.18,0.251,powerplay,powerplay_bowler,1.39,0.87,Gujarat Titans
Mohammed Siraj,112,112,2384,3571,146,8,8.99,31.88,21.29,1.0,1.02,31,0.277,0.412,1.304,0.071,8.57,7.88,10.47,0.518,0.191,0.29,middle,powerplay_bowler,1.27,0.74,Royal Challengers Bangalore
Mohsin Khan,28,24,510,721,22,0,8.48,25.75,18.21,1.167,1.05,6,0.25,0.433,0.917,0.0,7.83,7.45,10.46,0.482,0.235,0.282,middle,powerplay_bowler,1.67,0.67,Lucknow Super Giants
Mujeeb Ur Rahman,20,20,446,626,19,0,8.42,31.3,22.3,1.0,0.97,7,0.35,0.339,0.95,0.0,7.8,7.74,11.83,0.314,0.525,0.161,middle,middle_overs_bowler,1.1,0.9,Kings XI Punjab
Mukesh Choudhary,17,16,315,523,18,1,9.96,30.76,18.53,1.062,1.29,4,0.25,0.416,1.125,0.062,9.43,8.86,13.18,0.705,0.133,0.162,middle,powerplay_bowler,2.5,0.58,Chennai Super Kings
Mukesh Kumar,41,36,720,1257,39,6,10.48,30.66,17.56,1.139,1.02,10,0.278,0.339,1.083,0.167,9.09,9.13,12.84,0.442,0.192,0.367,powerplay,powerplay_bowler,1.42,0.82,Delhi Capitals
Mustafizur Rahman,65,60,1364,1879,47,8,8.27,28.91,20.98,1.083,1.01,16,0.267,0.357,0.783,0.133,7.29,7.84,9.29,0.339,0.239,0.422,powerplay,death_bowler,1.44,0.83,Sunrisers Hyderabad
N Burger,12,10,198,307,9,1,9.3,25.58,16.5,1.2,0.79,4,0.4,0.429,0.9,0.1,10.0,9.7,6.0,0.545,0.303,0.152,death,powerplay_bowler,1.38,0.5,Rajasthan Royals
N Rana,10,26,192,271,5,0,8.47,27.1,19.2,0.385,0.7,3,0.115,0.302,0.192,0.0,8.88,8.62,7.04,0.13,0.75,0.12,death,middle_overs_bowler,0.64,0.2,Kolkata Knight Riders
N Thushara,9,8,180,289,15,3,9.63,32.11,20.0,1.125,1.25,2,0.25,0.322,1.875,0.375,9.31,11.0,9.73,0.533,0.1,0.367,powerplay,powerplay_bowler,0.5,1.33,Mumbai Indians
NLTC Perera,31,36,698,1031,14,3,8.86,33.26,22.52,0.861,0.99,9,0.25,0.325,0.389,0.083,7.43,7.69,11.45,0.258,0.413,0.33,powerplay,all_phases_bowler,1.0,0.75,Sunrisers Hyderabad
NM Coulter-Nile,48,38,857,1125,26,9,7.88,23.44,17.85,1.263,1.22,14,0.368,0.429,0.684,0.237,7.35,6.89,9.63,0.42,0.291,0.289,middle,powerplay_bowler,1.62,0.82,Delhi Daredevils
NT Ellis,19,17,378,553,9,3,8.78,29.11,19.89,1.118,1.11,4,0.235,0.31,0.529,0.176,7.12,7.91,10.87,0.27,0.365,0.365,powerplay,all_phases_bowler,1.44,0.75,Punjab Kings
Naman Dhir,0,5,52,76,1,0,8.77,,,0.0,0.0,0,0.0,0.212,0.2,0.0,6.0,10.94,4.0,0.115,0.654,0.231,death,middle_overs_bowler,0.0,0.0,Mumbai Indians
Navdeep Saini,24,32,670,1006,22,9,9.01,41.92,27.92,0.75,0.88,7,0.219,0.413,0.688,0.281,8.71,9.06,9.44,0.43,0.304,0.266,powerplay,powerplay_bowler,1.23,0.42,Royal Challengers Bangalore
Naveen-ul-Haq,25,17,387,602,15,5,9.33,24.08,15.48,1.471,1.28,8,0.471,0.344,0.882,0.294,9.67,7.43,10.04,0.372,0.217,0.411,middle,death_bowler,1.0,2.0,Lucknow Super Giants
Nithish Kumar Reddy,7,17,193,346,12,2,10.76,49.43,27.57,0.412,0.71,2,0.118,0.264,0.706,0.118,10.5,9.76,15.1,0.187,0.653,0.161,middle,middle_overs_bowler,0.78,0.0,Sunrisers Hyderabad
Noor Ahmad,52,42,894,1263,34,5,8.48,24.29,17.19,1.238,1.16,16,0.381,0.332,0.81,0.119,9.6,8.29,8.98,0.067,0.784,0.149,middle,middle_overs_bowler,1.67,0.92,Gujarat Titans
OC McCoy,11,8,161,255,17,2,9.5,23.18,14.64,1.375,1.06,4,0.5,0.304,2.125,0.25,7.0,10.29,8.95,0.075,0.522,0.404,powerplay,death_bowler,2.0,0.33,Rajasthan Royals
OF Smith,6,6,90,179,4,1,11.93,29.83,15.0,1.0,1.55,1,0.167,0.389,0.667,0.167,7.0,12.44,15.33,0.2,0.6,0.2,powerplay,middle_overs_bowler,1.67,0.33,Punjab Kings
P Amarnath,7,6,132,241,0,0,10.95,34.43,18.86,1.167,0.75,2,0.333,0.22,0.0,0.0,12.0,10.5,13.33,0.045,0.818,0.136,middle,middle_overs_bowler,1.17,,Chennai Super Kings
